Reducing educational inequality through research-practice partnerships;Although researchers have done effective work at describing the inequities that plague schools, they have been less successful at making headway in addressing them, largely because their work remains disconnected from the schools that have to try to use the research. Through research-practice partnerships, researchers are able to stay in touch with the educators on the ground, craft research questions with their actual problems in mind, and help them take action in response to the research. Daniel Potter, Erin Baumgartner, and Ruth N. Lopez Turley describe how, through the Houston Education Research Consortium, researchers from Rice University launched an equity project to uncover inequities within Houston-area schools and track their progress in addressing them. And, because of the ongoing relationship, they were able to launch a research project looking into how the COVID-19 pandemic affected students and produce results while schools where they were still relevant.
Why is inequality higher among the old? Evidence from China;This paper studies income inequality in old age and its development over the life cycle. We show that income is more unequally distributed in old age than in working age. We combine the regression-based inequality decomposition method and the three-step mediating effect test to analyze the transmission of income inequality from initial socioeconomic differences to income inequality in old age. Our study is based on a panel of over 4000 old households from the China Health and Nutrition Survey during 1991?2015. We find that the urban-rural gap and educational inequality are the primary causes of old-age income inequality. The effect of the urban-rural gap is partially mediated by educational inequality. Inequality accumulates with age and is reinforced in old age by the fragmented Chinese public pension system.
Why does this matter? The value of intersectionality;"In this commentary, I explore and elaborate on themes in Maggie Renken, Jessica Scott, Patrick Enderle, and Scott Cohen's (this issue) manuscript It's not a deaf thing, it's not a black thing; it's a deaf black thing: A study of the intersection of adolescents' deaf, race, and STEM identities. Using my own research and experiences, I present a case on the importance of working with students with low-incidence disabilities and how scholarship focused on related student groups can inform and illuminate problems of practice in an underexplored research area. Additionally, I posit that using a lens of intersectionality can help address issues of educational inequality experienced by multiple communities. I conclude with a consideration of how Maslow's hierarchy of needs (Maslow, Psychol Rev 50:370-396, 1943) must be considered before addressing students' STEM identities."
Time trends in socio-economic, urban-rural and regional disparities in prevalence of obesity among non-pregnant women in Lesotho: evidence from Lesotho demographic and health surveys (2004-2014);"BackgroundThe growing rates of obesity in developing countries are alarming. There is a paucity of evidence about disparities of obesity in Lesotho. This study examined socioeconomic and area-based inequalities in obesity among non-pregnant women in Lesotho.MethodsData were extracted from the 2004, 2009 and 2014 Lesotho Demographic and Health Surveys (LDHS) and analyzed through the recently updated Health Equity Assessment Toolkit (HEAT) of the World Health Organization. Obesity prevalence was disaggregated by four equity stratifiers, namely education, wealth, residence and sub-national region. For each equity stratifier, simple and complex as well as relative and absolute summary measures were calculated. A 95% confidence interval was used to measure statistical significance of findings.ResultsWe noticed substantial wealth-driven (D=-21.10, 95% CI; -25.94, -16.26), subnational region (PAR=-11.82, 95%CI; -16.09, -7.55) and urban-rural (-9.82, 95% CI; -13.65, -5.99) inequalities in obesity prevalence without the inequalities improved over time in all the studied years. However, we did not identify educational inequality in obesity.ConclusionsWealth-driven and geographical inequalities was identified in Lesotho in all the studied time periods while education related inequalities did not appear during the same time period. All population groups in the country need to be reached with interventions to reduce the burden of obesity in the country."
Strive to Succeed? The Role of Persistence in the Process of Educational Attainment;This article examines the role of effort in the process of educational attainment. First, I analyze the impact of effort on future tertiary educational attainment. Then, I test two sociological theories that argue that effort transmits educational inequality across generations. According to the first theory, parental background shapes the effort that children exert in education-related activities. The second theory argues that the drivers of effort in this context are educational expectations. I use a variable for effort that is measured directly over the course of the Programme for International Student Assessment test. Using a longitudinal data set from Australia, I estimate different hierarchical and structural equations models. I find that the measure of effort is positively and significantly associated with the probability of having obtained a tertiary degree 10 years later. Furthermore, the results show partial support for the second theory but not for the first one.
Subtle discrimination: do stereotypes among teachers trigger bias in their expectations and widen ethnic achievement gaps?;Ethnic and racial disparities in educational outcomes, such as test scores, are a core issue of educational research. While the role of student and family factors in the formation of such disparities is well established, existing studies fail to draw a similarly clear picture of how teachers contribute to ethnic and racial achievement gaps. In contrast to previous studies, which focussed on the consequences of rather blatant forms of discrimination, such as in teachers' grading practices, this study investigates rather subtle processes that might result in discrimination of ethnic and racial minority students. In particular, I address stereotypes among teachers and analyse if they induce bias in their achievement expectations for ethnic minority school beginners. Additionally, I analyse if such bias results in a self-fulfilling prophecy and contributes to ethnic achievement gaps at the end of first grade. Multilevel regressions applied to a sample of 1007 children and 64 teachers in German primary schools reveal that different teachers internalize distinct stereotypes regarding ethnic achievement gaps and the achievement-related attributes of ethnic minority students. I also find that teachers with more negative stereotypes expect lower mathematics and reading achievements for ethnic minority students at the beginning of first grade. However, although I replicate the finding that inaccurate teacher expectations result in a self-fulfilling prophecy, I find no statistically significant effects of teacher stereotypes on ethnic differences in the development of students' reading and mathematical skills throughout first grade.
Assimilation-Abitur, separation-lower school-leaving certificate? The relationship of acculturation and the envisaged school-leaving certificate;This study investigates whether there is a relationship between acculturation and the envisaged school-leaving certificate of immigrant students in secondary school. Based on data from the German National Educational Panel Study (NEPS) different aspects of acculturation were employed and four acculturation profiles identified conducting Latent Profile Analysis: an assimilated, a moderate assimilated, an integrated, and a separated acculturation profile. Logistic regression models were run to investigate the odds for envisaging an Abitur or a lower school-leaving certificate dependent on the acculturation profiles identified. Before controlling for linguistic competence, results indicate that the separated acculturation profile predicts the envisaged school-leaving certificate. Controlling for linguistic competence, no acculturation profile shows any effects. Effects of cultural background can only be shown for the predicted odds for envisaging an Abitur. Findings are in line with the state of research, that points to the disadvantages of separation in the German school context and indicate the importance of German language skills regarding academic success.
English Learner Labeling: How English Learner Classification in Kindergarten Shapes Teacher Perceptions of Student Skills and the Moderating Role of Bilingual Instructional Settings;"Prior research has shown that English learner (EL) classification is consequential for students; however, less is known about bow EL classification affects student outcomes. In this study, we examine one hypothesized mechanism: teacher perceptions. Using a national data set (Early Childhood Longitudinal Study-Kindergarten Cohort of 2010-2011 or ECLS-K 2011), we use coarsened exact matching to estimate the effect of kindergarten EL status on teachers' perceptions of students' academic skills. We further explore whether that impact is moderated by instructional setting (bilingual vs. English immersion). We find evidence that EL classification results in lower teacher perceptions. This impact is, however, moderated by bilingual environments. In bilingual classrooms, we do not find evidence that EL classification results in diminished perceptions. This study adds to research on teacher perceptions and the effects of EL classification."
School segregation in Rio de Janeiro: geographical, racial and historical dimensions of a centre-periphery dynamic;This paper examines educational segregation in the Brazilian city of Rio de Janeiro through the lens of a multifaceted centreperiphery relationship involving geographical, racial and historical dimensions. The paper first situates Brazilian racial inequalities historically, drawing on decolonial theory, before examining student enrolment patterns in Brazil's second-largest metropolis. Although Brazil is often held to be a racially integrated society, the analysis shows sharp racial and social divisions between a 'peripherally' oriented mass public school system, a 'centrally' oriented private sector, and selective public schools run by the federal government. The selective public sector is undergoing a period of transition, driven by affirmative action policies, and provoking tensions that are examined through the experiences of two politically-engaged teachers. The findings point to the importance of political mobilisation in effecting change and the need for further affirmative action policies, along with a revised funding model for public schooling.
The shifting powers of educational knowledge: power relations between sociology and economics of education;This paper considers the 'hope' and 'disappointments' experienced over time about the results of rapid educational expansion, as well as the research agenda which aims to improve educational outcomes in the developing world and particularly in Africa. Our interest is in the development and nature of policy-oriented bodies of knowledge that address the issue of educational inequality in poor countries. More specifically, we examine the state of knowledge production in sociology of education in relation to the question of educational inequality. We do this through an exploration of its interface with economics of education, starting with an examination of literature in the developed world. We argue that there was an initial collaboration in the 1950s, shifting to something of a separation from the 1980s, to what could be seen as a colonization of education in research on developing countries. This is facilitated by the way in which sociology of education has developed into silos of topic-based research-reducing its explanatory and political power. Some silos are marginalized, and some are dominated by claims on 'what works' produced by economists.
Inequality in skills for learning: do gaps in children's socio-emotional development widen over time according to family background?;At all ages, a child who can sustain attention, regulate emotions, inhibit impulsive behaviour, and relate appropriately to adults and peers is able to take advantage of learning opportunities in the classroom, and beyond. This study assesses differences in children's socio-emotional development according to family background, and whether early gaps in these skills widen across childhood in a contemporary UK cohort. Applying models replicating a much-discussed investigation of cognitive trajectories, it finds that large gaps in early childhood persist through school, and that children with similar initial skills diverge over time according to family background. The transition to secondary school is identified as a crucial time when disadvantaged children fall behind, and a priority for future intervention.
The (Unequal) Interplay Between Cognitive and Noncognitive Skills in Early Educational Attainment;"Cognitive and noncognitive skills are key indicators of educational success and merit. However, even when accounting for inequalities in skill formation by family socioeconomic status (SES), a wide SES-gap in college enrolment remains. According to the compensatory advantage hypothesis, SES-gaps in educational transitions are largest among cognitively weak students, but little is known on mechanisms. It has long been argued that noncognitive traits such as effort and motivation might be at least as important as cognitive skills over the status-attainment process, and these skills might interact by being complements or substitutes. Thus, I test whether advantaged students substitute low cognitive skills in test scores by high returns to conscientiousness-rated by teachers- in the transition to academic secondary schools. I draw data from the German National Educational Panel Study to study a cohort of students from Grades 1 to 5, when early tracking is enforced. I estimate linear probability models with school fixed-effects and moderation. To account for measurement error, I also use composite latent skills across elementary education. I report three main findings: (a) High-SES students at the same level of cognitive and noncognitive skills than low-SES schoolmates are more likely to attend the academic track bridged to college; (b) in line with the compensatory hypothesis, these SES-inequalities are largest among low cognitive performers; (3) cognitively weak students from high-SES families get the highest educational returns to conscientiousness in comparison to high cognitive performers or low-SES peers, validating the skill substitution hypothesis. These findings challenge the liberal conception of merit as the sum of ability plus effort in assessing equal opportunity in education."
The Inequity of Educational Opportunity During a Pandemic;Educational opportunity has rarely been truly equal in any society, although modern societies have made enormous efforts to assure greater equality. Inequality in education is most often a consequence of existing social differences which structure opportunity. Those individuals with greater financial resources tend to have a wider range of educational choices and access to a higher standard of educational opportunities than those people with lesser financial means. This situation has become increasingly apparent in the course of the COVID-19 pandemic. This paper discusses those inevitable differences which have exacerbated educational inequality during this pandemic. Such inequities are examined internationally.
CULTURALLY SUSTAINING MUSIC EDUCATION AND EPISTEMIC TRAVEL;The examination of racist, normalized ideology within American education is not new. Theoretical and practical conceptions of social justice in education have attempted to attend to educational inequality. Oftentimes, these attempts have reinstated the status quo because they were framed within the same Eurocentric paradigm. To address this, Django Paris proposed culturally sustaining pedagogy as a means of empowering minoritized students by sustaining the cultural competence of their communities and dismantling coloniality within educational practices. He, Michael Dominguez, and others argue that epistemic expansion is imperative for equitizing educational spaces and closing the ontological distance between teachers and students. Drawing from their work as well as scholarship from the fields of educational policy, urban education, Afrocentrism, and Indigenous studies, this paper seeks to expand the discussion about culturally relevant and responsive music education to account for students' musical epistemologies and the ways in which epistemic travel might inform normalized musical practices.
I am not a guinea pig: Parental opportunity hoarding and tracking reform in Germany;PISA test data from 2000 to today have shown Germany's education system is one of the most inequitable within the OECD, with high correlations between student background and achievement outcomes. Scholars have identified the highly differentiated school structure, which tracks students as young as 10 years old, as a central cause. This scholarship has not evaluated why German tracking has proved difficult to reform over the last 20 years, despite evidence of negative outcomes. Using a case study of parents' actions in Hamburg, this paper employs a discourse analysis of debates surrounding a tracking reform to argue that opportunity hoarding-that is, parents with more social capital maintaining certain advantages through ingrained systems that are theoretically open to all-may contribute to why Germany's early tracking system persists despite evidence showing that it increases educational inequality. The findings presented have implications for an international discussion of tracking reform and opportunity hoarding.
Why Adequacy Isn't Enough: Educational Justice, Positional Goods and Class Power;Elizabeth Anderson and Debra Satz continue in the tradition of Plato with their work on the role of education in a just society. Both argue that a just society depends on education enabling citizens to realize democratic or civic equality and that this equality depends on sufficiency in the distribution of educational goods. I agree that education is important to preparing democratic citizens, but I disagree about the plausibility of sufficiency here, especially in the educational context. My argument is two-fold: I first reconsider a generic positional goods objection to educational inequality, I then argue that plausible sufficientarian replies to this objection fail insofar as they are premised on an impoverished conception of class and power that treats all statuses more like socio-cultural traits when they should instead be referencing the material conditions someone has inside a social structure. One cannot bring an individual X into the halls of power and simultaneously have X represent or compensate those who are presently disadvantaged in the way that X had formerly been disadvantaged. In short, we should worry about the realistic possibility of securing and sustaining a civic-minded elite because elites have the power and motivation to enrich themselves at the expense of the rest of us. For the sufficientarian story to work, we need more that explains the realistic possibility of a benevolent ruling elite, until then, democratic equality seems to be better realized by aiming for equal educations, adequacy isn't enough.
Relative risk aversion models: How plausible are their assumptions?;This work examines the validity of the two main assumptions of relative risk-aversion models of educational inequality. We compare the Breen-Goldthorpe (BG) and the Breen-Yaish (BY) models in terms of their assumptions about status maintenance motives and beliefs about the occupational risks associated with educational decisions. Concerning the first assumption, our contribution is threefold. First, we criticise the assumption of the BG model that families aim only at avoiding downward mobility and are insensitive to the prospects of upward mobility. We argue that the loss-aversion assumption proposed by BY is a more realistic formulation of status-maintenance motives. Second, we propose and implement a novel empirical approach to assess the validity of the loss-aversion assumption. Third, we present empirical results based on a sample of families of lower secondary school leavers indicating that families are sensitive to the prospects of both upward and downward mobility, and that the loss-aversion hypothesis of BY is empirically supported. As regards the risky choice assumption, we argue that families may not believe that more ambitious educational options entail occupational risks relative to less ambitious ones. We present empirical evidence indicating that, in France, the academic path is not perceived as a risky option. We conclude that, if the restrictive assumptions of the BG model are removed, relative-risk aversion needs not drive educational inequalities.
What enables the meritocratic power of a college degree? Changing labor market outcomes of first-generation college graduates in post-revolution China;Taking advantage of changes in college admissions and the labor market in post-revolution China, this study sheds light on the institutional conditions under which a college degree may equalize the influence of family educational background on labor market outcomes. We examine differences in the first job's occupational attainment and economic returns between first-generation, second-generation, and non-college graduates. We compare birth cohorts with distinctive experiences, some of whom entered college through political recommendation while others did so through objective examination, and some of whom attained their first job through state assignment while others did so through market matching. We find that a college degree only equalized occupational attainment in cohort 1980-1992, who experienced expanded test-based admissions and a developed labor market. Within-occupation economic returns were equalized in cohort 1966-1979, who experienced test-based admissions and yet an underdeveloped labor market, but appeared to be unequal again in cohort 1980-1992, echoing rising social inequality.
What happens when schools shut down? Investigating inequality in students' reading behavior during Covid-19 in Denmark;The outbreak of Covid-19 in spring 2020 shut down schools around the world and placed parents in charge of their children's schooling. Research from the lockdown period documents that families differ in their responses to their new responsibility for their children's homeschooling by socioeconomic status and that the Covid-19 crisis has increased educational inequality. The aim of this paper is to examine inequality in children's reading behavior before, during and after the lockdown of schools in Denmark by analyzing new digital data from a widely used reading app combined with administrative data. Our results show, first, that students' online reading behavior increased significantly as a consequence of the lockdown of schools, second, that there is a socioeconomic gradient in students' reading behavior both before and during the lockdown, and, third, that inequality in reading behavior during Covid-19 increased exclusively during the first lockdown period in which schools were closed and students where taught online. Consequently, our results support the findings from previous research documenting a SES gradient in learning opportunities in homeschooling activities during the Covid-19 induced lockdown. Yet, contrary to prior research, we find only a short-term increase in inequality on children's actual reading activity during Covid-19.
Measuring educational inequality of opportunity: pupil's effort matters;The distinction between effort and other factors, such as family background, matters for correcting policies and normative reasons when we appeal to inequality of opportunity. We take advantage of a purposefully designed survey on secondary schools in rural Bangladesh to offer a comprehensive view of the importance of overall effort when measuring inequalities of opportunity in education. The analysis comprises decomposition exercises of the predicted variance of student performance in mathematics and English by source (effort, circumstances, etc.) and subgroup (within- and between-schools) based on parametric estimates of educational production functions. Pupils' effort, preferences, and talents contribute between 31% and 40% of the total predicted variances in performance scores. The contribution of overall effort falls by 10% when the correlation between effort and circumstances is taken into account. These findings are robust to the choice of estimation strategy (i.e. combined within- and between-schools variation models versus multilevel random-effect models). All in all, these results advocate that social determinism in education can be mitigated by individual effort at school. (C) 2020 The Authors. Published by Elsevier Ltd.
Early tracking and different types of inequalities in achievement: difference-in-differences evidence from 20 years of large-scale assessments;Research to date on the effects of between-school tracking on inequalities in achievement and on performance has been inconclusive. A possible explanation is that different studies used different data, focused on different domains, and employed different measures of inequality. To address this issue, we used all accumulated data collected in the three largest international assessments-PISA (Programme for International Student Assessment), PIRLS (Progress in International Reading Literacy Study), and TIMSS (Trends in International Mathematics and Science Study)-in the past 20 years in 75 countries and regions. Following the seminal paper by Hanushek and Wossmann (2006), we combined data from a total of 21 cycles of primary and secondary school assessments to estimate difference-in-differences models for different outcome measures. We synthesized the effects using a meta-analytical approach and found strong evidence that tracking increased social achievement gaps, that it had smaller but still significant effects on dispersion inequalities, and that it had rather weak effects on educational inadequacies. In contrast, we did not find evidence that tracking increased performance levels. Besides these substantive findings, our study illustrated that the effect estimates varied considerably across the datasets used because the low number of countries as the units of analysis was a natural limitation. This finding casts doubt on the reproducibility of findings based on single international datasets and suggests that researchers should use different data sources to replicate analyses.
Income, housing wealth, and private school access in Britain;Access to Britain's highly-resourced private schools matters because of concerns surrounding social mobility. Using the UK Family Resources Survey, we document a high and mostly stable income concentration of private school access since 1997. Nevertheless, some low-income participation persists. Bursaries are income-progressive but cannot account for this participation. Housing wealth is, however, found to be greater for private school participants. We estimate that a 10 per cent rise of family income and home value raises private school participation by 0.9 points, respectively. Neither effect changes over time. The income effect, however, falls sharply outside the top income decile.
Academic resilience: underlying norms and validity of definitions;Academic resilience refers to students' capacity to perform highly despite a disadvantaged background. Although most studies using international large-scale assessment (ILSA) data defined academic resilience with two criteria, student background and achievement, their conceptualizations and operationalizations varied substantially. In a systematic review, we identified 20 ILSA studies applying different criteria, different approaches to setting thresholds (the same fixed ones across countries or relative country-specific ones), and different threshold levels. Our study on the validity of these differences and how they affected the composition of academically resilient students revealed that the classification depended heavily on the threshold applied. When a fixed background threshold was applied, the classification was likely to be affected by the developmental state of a country. This could result in an overestimation of the proportions of academically resilient students in some countries while an underestimation in others. Furthermore, compared to the application of a social or economic capital indication, applying a cultural capital indicator may lead to lower shares of disadvantaged students classified as academically resilient. The composition of academically resilient students varied significantly by gender and language depending on which indicator of human capital or which thresholds were applied reflecting underlying societal characteristics. Conclusions drawn from such different results depending on the specific conceptualizations and operationalizations would vary greatly. Finally, our study utilizing PISA 2015 data from three countries representing diverse cultures and performance levels revealed that a stronger sense of belonging to a school significantly increased the chances to be classified as academically resilient in Peru, but not in Norway or Hong Kong. In contrast, absence from school was significantly associated with academic resilience in Norway and Hong Kong, but not in Peru.
From a Sociological Given Context to Changing Practice: Transforming Problematic Power Relations in Educational Organizations to Overcome Social Inequalities;In 2012, the international PISA survey reinforced the observation that the French educational system is one of the most unequal among OECD countries. The observation of serious inequalities in access to educational success for pupils from disadvantaged backgrounds could lead to a pessimistic vision suggesting that any possibility of transformation of the system is doomed to failure. Thus, the fight against inequalities in access to educational success is a form of runaway object which constitutes a challenge for research which treats the social context as evolving and susceptible to significant and novel transformations. Developmental work research aims to support the work of professionals in the re-elaboration of their practices by seeking to go beyond the status quo of an unequal school. Drawing on this framework within an institutional network of schools, we seek to show how the intervention has highlighted power issues inscribed in the structures and how the actors, through their commitment in the research collaborative process, seek to go beyond the power issues inscribed in their work routines and enacted during the research process by different kinds of antagonism. We will argue that the fight against educational inequality involves overcoming systemic power relations crystallized in institution. This systemic power is expressed by a form of episodic power. Our results show restrictive and constructive effect on the expansive learning process and on the construction of a collective in the formative interventions. The restrictive side of epistemic power should be linked to systemic power which is historically inherited. We discuss the results in the light of the emergence of a fourth generation of activity theory. Our research makes it possible to make conceptual and methodological progress in the construction of a fourth generation of activity theory by showing the need for analysis and expansively learn about problematic power relations in heterogeneous collectives.
Decomposing educational inequality in maternal mortality in Iran;Given the significance of educational equality as one of the key social determinants of health in maternal health outcomes, the present study aimed to assess maternal mortality inequality and its main contributors based on the level of education amongst mothers living in Isfahan, Iran. In this case-control study, all 171 maternal deaths in the Isfahan Province during 2001-2016 were taken from the national maternal mortality surveillance system (as a case group). For the control group, 523 mothers who were alive were selected from 22 health centers located in 21 cities in the province of Isfahan. Concentration index and curve were used to measure educational inequality in maternal mortality. The chi-square test was used to select explanatory social and health variables to enter the decomposition model. The analyses were performed with STATA 12. Social and healthcare factors accounted for 43.57% and 23.44% of educational inequality, respectively. The normalized maternal mortality concentration index was -0.13 (95% CI, -0.10 to -0.02). Among the social factors, the mother's education level (38.14%) and immigrant status (25.39%) contributed the most to educational inequality. Regarding healthcare factors, proximate medical causes (14.49%) and the number of pregnancies (9.72%) had the highest contribution. Maternal mortality has been distributed unequally among the less and more educated mothers in Iran, which suggests that promoting health literacy is imperative, especially for women with lower education levels.
