Abstract;Year;abs
Problem Statement: Teaching a language with the help of comput ers and the Internet has attracted the attention of many practitioners and researchers in the last 20 years so the number of studies that investigate whether computers and the Internet promote language learning continues to increase. These studies have focused on exploring the beliefs and attitudes of learners and teachers towards computers and the Internet or on inquiring whether computers and the Internet increase the achievement levels of learners or enhance students' awareness of other cultures. Despite the widespread use of computers and the Internet in educational settings a small number of research studies have investigated the role of Computer-Assisted Language Learning (CALL) in promoting learner autonomy. This study will contribute to the literature on the ways that CALL environments foster learner autonomy. Purpose: The aim of this study is to utilize language learning environments equipped with technology to develop learner autonomy. There are four behavioural indicators of autonomy: using language learning strategies a high motivation level to learn the English language taking responsibility for one's own learning and continued English language study outside the classroom. Method: Forty-eight intermediate-level students at a private university in Ankara Turkey participated in this study. The students were divided into two groups: the Strategy Training Group (STG) and the Non-Strategy Training Group (NSTG). The students in the STG received a five-week language learning strategy training through CALL while the participants in the NSTG followed the university's regular curriculum. Data were collected by means of questionnaires semi-structured face-to-face interviews classroom observations e-learning diaries and the five-week language learning strategy training through CALL. Findings and Results: The results of the study indicate that the students in the STG displayed improvement in their usage of language learning strategies had higher motivation were more willing to take responsibility for their own learning and were engaged in extra-curricular study by means of CALL compared to the students in the NSTG. Conclusions and Recommendations: Becoming autonomous learners necessitates readiness on the part of the students. Therefore it is important for instructors to know whether their students are ready to develop autonomy. Autonomous learning differs from conventional foreign language education in the sense that the primary focus of autonomous learning is on the learners' individual awareness of the learning process. Therefore it would be beneficial for curriculum units in language teaching institutions to revise course objectives and to design classroom activities that promote learner autonomy.;2013;problem statement: teaching a language with the help of comput ers and the ınternet has attracted the attention of many practitioners and researchers in the last 20 years so the number of studies that investigate whether computers and the ınternet promote language learning continues to increase. these studies have focused on exploring the beliefs and attitudes of learners and teachers towards computers and the ınternet or on inquiring whether computers and the ınternet increase the achievement levels of learners or enhance students' awareness of other cultures. despite the widespread use of computers and the ınternet in educational settings a small number of research studies have investigated the role of computer-assisted language learning (call) in promoting learner autonomy. this study will contribute to the literature on the ways that call environments foster learner autonomy. purpose: the aim of this study is to utilize language learning environments equipped with technology to develop learner autonomy. there are four behavioural indicators of autonomy: using language learning strategies a high motivation level to learn the english language taking responsibility for one's own learning and continued english language study outside the classroom. method: forty-eight intermediate-level students at a private university in ankara turkey participated in this study. the students were divided into two groups: the strategy training group (stg) and the non-strategy training group (nstg). the students in the stg received a five-week language learning strategy training through call while the participants in the nstg followed the university's regular curriculum. data were collected by means of questionnaires semi-structured face-to-face interviews classroom observations e-learning diaries and the five-week language learning strategy training through call. findings and results: the results of the study indicate that the students in the stg displayed improvement in their usage of language learning strategies had higher motivation were more willing to take responsibility for their own learning and were engaged in extra-curricular study by means of call compared to the students in the nstg. conclusions and recommendations: becoming autonomous learners necessitates readiness on the part of the students. therefore it is important for instructors to know whether their students are ready to develop autonomy. autonomous learning differs from conventional foreign language education in the sense that the primary focus of autonomous learning is on the learners' individual awareness of the learning process. therefore it would be beneficial for curriculum units in language teaching institutions to revise course objectives and to design classroom activities that promote learner autonomy.
This study introduces a story-based e-learning oriented course tool that was designed and developed for using within computer programming courses. With this tool students can easily adapt themselves to the subjects in the context of computer programming principles thanks to the story-based interactive processes. By using visually improved elements it is aimed to ensure a step-by-step learning - teaching session which allows students to organize a typical learning process on their own. As a result of using this approach and the story-based environment it can be very easy fast and entertaining for students to learn fundamentals of the computer programming approach and its related sub-subjects. Furthermore complex technical and abstract concepts of a typical computer programming course can also be taught easily without needing for any extra material to improve course conditions.;2013;this study introduces a story-based e-learning oriented course tool that was designed and developed for using within computer programming courses. with this tool students can easily adapt themselves to the subjects in the context of computer programming principles thanks to the story-based interactive processes. by using visually improved elements it is aimed to ensure a step-by-step learning - teaching session which allows students to organize a typical learning process on their own. as a result of using this approach and the story-based environment it can be very easy fast and entertaining for students to learn fundamentals of the computer programming approach and its related sub-subjects. furthermore complex technical and abstract concepts of a typical computer programming course can also be taught easily without needing for any extra material to improve course conditions.
In this study it is mainly focused on investigating the effect of question-embedded online interactive video environment on student achievement. A quasi-experimental design was development to compare the effectiveness of a question-embedded interactive video environment (QVE) and an interactive video environment without the question component (IVE). The data were collected from 318 teacher education students enrolled in an introduction level computer literacy course. Two different course materials were designed developed and implemented to teach the same content and the same data collections instruments were used to assess student achievement. A computer knowledge evaluation form was utilized at the beginning and at the end of the study to examine about the students' computer literacy and knowledge. A quantitative design method was used to inquire the effect of question-embedded online video-based environment tool on student achievement. Two quizzes and two surveys were performed. The research results show that the question-embedded video-based environment tool promote the student learning improve the amount of interaction of the student as well as time spent with the learning materials. Simply incorporating interactive video into e-learning environment may not always result with improving learning. However QVE tool may lead to better learning outcomes and higher learner achievement.;2013;ın this study it is mainly focused on investigating the effect of question-embedded online interactive video environment on student achievement. a quasi-experimental design was development to compare the effectiveness of a question-embedded interactive video environment (qve) and an interactive video environment without the question component (ıve). the data were collected from 318 teacher education students enrolled in an introduction level computer literacy course. two different course materials were designed developed and implemented to teach the same content and the same data collections instruments were used to assess student achievement. a computer knowledge evaluation form was utilized at the beginning and at the end of the study to examine about the students' computer literacy and knowledge. a quantitative design method was used to inquire the effect of question-embedded online video-based environment tool on student achievement. two quizzes and two surveys were performed. the research results show that the question-embedded video-based environment tool promote the student learning improve the amount of interaction of the student as well as time spent with the learning materials. simply incorporating interactive video into e-learning environment may not always result with improving learning. however qve tool may lead to better learning outcomes and higher learner achievement.
The purpose of this study is to design an adaptive and intelligent individualized e-learning environment based on learning style and expert system named UZWEBMAT and to evaluate its effects on students' learning of the unit of probability. In the study initially learning objects were prepared in three different ways in relation to Visual-Auditory-Kinesthetic (VAK) learning style for each subject of the probability unit. These were appropriate for secondary school mathematics curricula. Then they were transferred into the digital environment. Each student may follow a different course and the solution supports s/he will get may also differ highlighting the individual learning. The sample of the study consists of 81 10th grade students from two high schools in Trabzon Turkey. Qualitative and quantitative data were collected from students to answer research questions. Quantitative data were given as frequency distribution and percentages. Qualitative data were analyzed using qualitative data analysis methods. Results of the study indicated that opinions regarding UZWEBMAT are rather positive. Aiming at individual learning UZWEBMAT provides the most appropriate environment for students. In addition UZWEBMAT can be used as well to reinforce traditional classroom education. (C) 2012 Elsevier Ltd. All rights reserved.;2013;the purpose of this study is to design an adaptive and intelligent individualized e-learning environment based on learning style and expert system named uzwebmat and to evaluate its effects on students' learning of the unit of probability. ın the study initially learning objects were prepared in three different ways in relation to visual-auditory-kinesthetic (vak) learning style for each subject of the probability unit. these were appropriate for secondary school mathematics curricula. then they were transferred into the digital environment. each student may follow a different course and the solution supports s/he will get may also differ highlighting the individual learning. the sample of the study consists of 81 10th grade students from two high schools in trabzon turkey. qualitative and quantitative data were collected from students to answer research questions. quantitative data were given as frequency distribution and percentages. qualitative data were analyzed using qualitative data analysis methods. results of the study indicated that opinions regarding uzwebmat are rather positive. aiming at individual learning uzwebmat provides the most appropriate environment for students. ın addition uzwebmat can be used as well to reinforce traditional classroom education. (c) 2012 elsevier ltd. all rights reserved.
At the nexus of education and technology blended learning is growing rapidly. Integrating face-to-face and online learning blending can enhance learning and optimize seat time. This paper describes the use of the blended e-learning model in a course Data Structures and Algorithms given at the Afyon Kocatepe University Turkey. This model is realized as a combination of a face-to-face environment and online learning using the University's Learning Management System (LMS) named @KU-UZEM. The LMS consists of many applications in accordance with SCORM standards such as student records user roles courses exams security applications student affairs counseling services internal communication director processes and evaluation. It provides whole software infrastructure by a virtual academic institution and is currently used in Afyon Kocatepe University. This paper describes both the technology for course design and programme redesign adopted a blended learning approach with both face-to-face and online learning aimed at enhancing the students' control over their own learning. According to the obtained results with the performed experimental evaluation the realized blended learning model provided more effective and efficient educational experience rather than traditional face-to-face learning. A survey conducted at the end of the course also showed that students were satisfied with the pedagogical approach and their academic achievements were also better than expected. Particularly important is that the dropout rate was greatly diminished which could be related to students' satisfaction with the support they received from the teacher and the system. (c) 2010 Wiley Periodicals Inc. Comput Appl Eng Educ 21: 328-342 2013 View this article online at wileyonlinelibrary. com/journal/cae DOI 10.1002/cae.20476;2013;at the nexus of education and technology blended learning is growing rapidly. ıntegrating face-to-face and online learning blending can enhance learning and optimize seat time. this paper describes the use of the blended e-learning model in a course data structures and algorithms given at the afyon kocatepe university turkey. this model is realized as a combination of a face-to-face environment and online learning using the university's learning management system (lms) named @ku-uzem. the lms consists of many applications in accordance with scorm standards such as student records user roles courses exams security applications student affairs counseling services internal communication director processes and evaluation. ıt provides whole software infrastructure by a virtual academic institution and is currently used in afyon kocatepe university. this paper describes both the technology for course design and programme redesign adopted a blended learning approach with both face-to-face and online learning aimed at enhancing the students' control over their own learning. according to the obtained results with the performed experimental evaluation the realized blended learning model provided more effective and efficient educational experience rather than traditional face-to-face learning. a survey conducted at the end of the course also showed that students were satisfied with the pedagogical approach and their academic achievements were also better than expected. particularly important is that the dropout rate was greatly diminished which could be related to students' satisfaction with the support they received from the teacher and the system. (c) 2010 wiley periodicals ınc. comput appl eng educ 21: 328-342 2013 view this article online at wileyonlinelibrary. com/journal/cae doı 10.1002/cae.20476
In this study an innovative adaptive and intelligent web based e-learning system UZWEBMAT (Turkish abbreviation of Adaptive and INtelligent WEB based MAThematics teaching-learning system) was designed developed and implemented. This e-learning system was intended for learning and teaching secondary school level permutation-combination-binomial expansion and probability subjects. Content which was prepared according to Turkish curriculum for secondary school mathematics course was transformed into learning objects in three different ways in accordance with VAK (Visual-Auditory-Kinesthetic) learning styles. Primary/secondary/tertiary learning styles of learners registering the system are determined and each learner receives the content appropriate for his/her dominant learning style. Also they can be directed to contents of other styles according to their performances thanks to an expert system. Learning objects constituting the content were prepared according to constructivist approach. An active role for the learner was the purpose. Tips and intelligent solution supports within the learning objects were presented with expert system support to the learners. With this structure UZWEBMAT bears the characteristics of intelligent tutoring system as well as an adaptive e-learning environment. All the movements of learners studying with UZWEBMAT are recorded and the necessary information is reported to both learners and teachers in a visualized way. Crown Copyright (C) 2012 Published by Elsevier Ltd. All rights reserved.;2013;ın this study an innovative adaptive and intelligent web based e-learning system uzwebmat (turkish abbreviation of adaptive and ıntelligent web based mathematics teaching-learning system) was designed developed and implemented. this e-learning system was intended for learning and teaching secondary school level permutation-combination-binomial expansion and probability subjects. content which was prepared according to turkish curriculum for secondary school mathematics course was transformed into learning objects in three different ways in accordance with vak (visual-auditory-kinesthetic) learning styles. primary/secondary/tertiary learning styles of learners registering the system are determined and each learner receives the content appropriate for his/her dominant learning style. also they can be directed to contents of other styles according to their performances thanks to an expert system. learning objects constituting the content were prepared according to constructivist approach. an active role for the learner was the purpose. tips and intelligent solution supports within the learning objects were presented with expert system support to the learners. with this structure uzwebmat bears the characteristics of intelligent tutoring system as well as an adaptive e-learning environment. all the movements of learners studying with uzwebmat are recorded and the necessary information is reported to both learners and teachers in a visualized way. crown copyright (c) 2012 published by elsevier ltd. all rights reserved.
Experimental experience has a significant effect on students' engineering education and improves their practical skills. However experiments are high-cost requiring laboratory space experimental sets and so on. Computer-assisted learning (CAL) can provide a similar educational effect. Web-based interfaces a type of CAL often used in distance education are therefore economical solutions in that they require neither laboratories nor experimental equipment. In particular they facilitate students' understanding of the practical applications of their engineering education. This paper proposes the Web-based simulation of analog modulation techniques using MATLAB. To this end a Web-based educational interface called AnalogWeb was designed and implemented as part of an analog communication course. AnalogWeb was developed using MATLAB Builder for NE with WebFigures and ASP. NET platform it can be easily accessed by users/students using only a Web browser and requires no installation of MATLAB or any special program on the server or the clients. AnalogWeb is a user-friendly educational interface providing advanced visualization tools such as zoom moving graphics and three-dimensional imaging. AnalogWeb was validated and its educational contributions tested with 60 undergraduate students at Sakarya University Turkey the results are presented here.;2013;experimental experience has a significant effect on students' engineering education and improves their practical skills. however experiments are high-cost requiring laboratory space experimental sets and so on. computer-assisted learning (cal) can provide a similar educational effect. web-based interfaces a type of cal often used in distance education are therefore economical solutions in that they require neither laboratories nor experimental equipment. ın particular they facilitate students' understanding of the practical applications of their engineering education. this paper proposes the web-based simulation of analog modulation techniques using matlab. to this end a web-based educational interface called analogweb was designed and implemented as part of an analog communication course. analogweb was developed using matlab builder for ne with webfigures and asp. net platform it can be easily accessed by users/students using only a web browser and requires no installation of matlab or any special program on the server or the clients. analogweb is a user-friendly educational interface providing advanced visualization tools such as zoom moving graphics and three-dimensional imaging. analogweb was validated and its educational contributions tested with 60 undergraduate students at sakarya university turkey the results are presented here.
Online learner profiles have diversified such that now they include all types of participants from a variety of backgrounds. This study analyzed online learner profiles in regard to their entry characteristics participation behaviors and achievement of course outcomes. The sample consisted of 186 participants from an online course that required the employment of synchronous and asynchronous communication methods over the Internet. The data were collected through five online questionnaires and included 10 variables (gender age work status self-efficacy online readiness self-regulation participation in discussion list participation in chat sessions satisfaction and achievement). A two-step cluster analysis chi-square analysis and multivariate analysis were used to analyze the collected data. The results indicated that online learners fell into three significantly different clusters and within each cluster learners had a close combination of employment characteristics gender type age level perception of self-efficacy for online technologies and participation behavior level.;2013;online learner profiles have diversified such that now they include all types of participants from a variety of backgrounds. this study analyzed online learner profiles in regard to their entry characteristics participation behaviors and achievement of course outcomes. the sample consisted of 186 participants from an online course that required the employment of synchronous and asynchronous communication methods over the ınternet. the data were collected through five online questionnaires and included 10 variables (gender age work status self-efficacy online readiness self-regulation participation in discussion list participation in chat sessions satisfaction and achievement). a two-step cluster analysis chi-square analysis and multivariate analysis were used to analyze the collected data. the results indicated that online learners fell into three significantly different clusters and within each cluster learners had a close combination of employment characteristics gender type age level perception of self-efficacy for online technologies and participation behavior level.
The efficiency of the laboratory applications in the Electrical and Electronics major of technical and vocational education (TVE) has a significant importance. Due to this significance the sustainability of training of trainers is extremely important for the successful training of trainees. In this study distance learning is focused and an e-laboratory model is introduced for the target group of educators as the trainee. V-LAB and D-LAB hardware units are presented with their enhanced features for online laboratory applications. Wimax solution for wireless communication of this model is demonstrated. The performance evaluations of this system are also analyzed. (c) 2010 Wiley Periodicals Inc. Comput Appl Eng Educ 21: 439-447 2013;2013;the efficiency of the laboratory applications in the electrical and electronics major of technical and vocational education (tve) has a significant importance. due to this significance the sustainability of training of trainers is extremely important for the successful training of trainees. ın this study distance learning is focused and an e-laboratory model is introduced for the target group of educators as the trainee. v-lab and d-lab hardware units are presented with their enhanced features for online laboratory applications. wimax solution for wireless communication of this model is demonstrated. the performance evaluations of this system are also analyzed. (c) 2010 wiley periodicals ınc. comput appl eng educ 21: 439-447 2013
The dynamic and more demanding nature of today's life conditions force people and corporations to invest in life-long education. It is important to make this continuous learning process more affordable and accessible to larger groups of people. At this point e-learning seems to be more convenient way of learning than formal education especially for working adults because of their time and place constraints and their need for flexibility. The crucial concern is whether the e-learning process is useful or not and under what conditions it brings more value to adult learners. Thus the core research question guiding this study is: What are the most significant factors influencing corporatee-learning success? The study aims to answer this question by developing e-learning success models via data mining. After a number of data preprocessing activities a combination of descriptive and predictive data mining methodologies are applied on the data set. Most of the independent factors (learner demographics learner experience and course characteristics) are discovered to have power at different levels for explaining variance in e-learning success. Course program characteristics like content type existence of certification are explored having a strong influence on the success of e-learning process.;2013;the dynamic and more demanding nature of today's life conditions force people and corporations to invest in life-long education. ıt is important to make this continuous learning process more affordable and accessible to larger groups of people. at this point e-learning seems to be more convenient way of learning than formal education especially for working adults because of their time and place constraints and their need for flexibility. the crucial concern is whether the e-learning process is useful or not and under what conditions it brings more value to adult learners. thus the core research question guiding this study is: what are the most significant factors influencing corporatee-learning success? the study aims to answer this question by developing e-learning success models via data mining. after a number of data preprocessing activities a combination of descriptive and predictive data mining methodologies are applied on the data set. most of the independent factors (learner demographics learner experience and course characteristics) are discovered to have power at different levels for explaining variance in e-learning success. course program characteristics like content type existence of certification are explored having a strong influence on the success of e-learning process.
In accordance with expository teaching the aim of the research is to determine the effects of five different e-learning types on student achievement. In order to accomplish this five different e-learning designs dealing with the same subject were formed within the scope of expository teaching. These designs include two synchronous (Instructor-led Telementoring and E-coaching) and three asynchronous (Learner-led Facilitated Embedded) types of e-learning. The designs were carried out with 250 first-year university students attending the course Computer II (Database) distributed to five different groups. The participants were asked to compile a multiple choice achievement test with 40 items. The findings of the study showed that there were significant differences among groups in terms of student achievement. Instructor-led e-learning groups were more successful than other groups. Differences among the students' achievements were discussed based on the synchronous instructor effect.;2013;ın accordance with expository teaching the aim of the research is to determine the effects of five different e-learning types on student achievement. ın order to accomplish this five different e-learning designs dealing with the same subject were formed within the scope of expository teaching. these designs include two synchronous (ınstructor-led telementoring and e-coaching) and three asynchronous (learner-led facilitated embedded) types of e-learning. the designs were carried out with 250 first-year university students attending the course computer ıı (database) distributed to five different groups. the participants were asked to compile a multiple choice achievement test with 40 items. the findings of the study showed that there were significant differences among groups in terms of student achievement. ınstructor-led e-learning groups were more successful than other groups. differences among the students' achievements were discussed based on the synchronous instructor effect.
The purpose of this research is to determine the topics learning styles language skills learning environments materials out-of-class activities and assessment methods that are needed by learners of Turkish as a foreign language in the language learning process. The research was conducted with 305 foreign learners who were attending a language centre in Ankara to learn Turkish. The research utilised the Needs Analysis Questionnaire for Learners of Turkish as a Foreign Language that was developed by the researchers and which analysed seven dimensions of the learning process: themes learning styles language skills learning environments materials out-of-class activities and assessment. The findings obtained through the questionnaire were calculated as frequencies and percentages. The findings of the research revealed that learners of Turkish as a foreign language are most interested in topics related to the Turkish culture their own country and their work/job. It was also determined that the learners preferred audio-visual activities watching videos or small group discussions in the language learning process. From the analysis of learner needs related to learning environments it was seen that the learners preferred blended learning but were adverse to a totally e-learning-based environment. For assessment it was determined that the learners opposed self-assessment or peer assessment but rather preferred to have the teacher assess their written/spoken work.;2013;the purpose of this research is to determine the topics learning styles language skills learning environments materials out-of-class activities and assessment methods that are needed by learners of turkish as a foreign language in the language learning process. the research was conducted with 305 foreign learners who were attending a language centre in ankara to learn turkish. the research utilised the needs analysis questionnaire for learners of turkish as a foreign language that was developed by the researchers and which analysed seven dimensions of the learning process: themes learning styles language skills learning environments materials out-of-class activities and assessment. the findings obtained through the questionnaire were calculated as frequencies and percentages. the findings of the research revealed that learners of turkish as a foreign language are most interested in topics related to the turkish culture their own country and their work/job. ıt was also determined that the learners preferred audio-visual activities watching videos or small group discussions in the language learning process. from the analysis of learner needs related to learning environments it was seen that the learners preferred blended learning but were adverse to a totally e-learning-based environment. for assessment it was determined that the learners opposed self-assessment or peer assessment but rather preferred to have the teacher assess their written/spoken work.
Learning management systems (LMSs) contain hidden costs unclear user environments bulky developer and administration manuals and limitations with regard to interoperability integration localization and bandwidth requirements. Careful evaluation is required in selecting the most appropriate LMS for use and this is a general problem in web-based education. One possibility is to automate this evaluation process using computer-aided techniques. In this article the researcher has focused on the idea of automating the evaluation process and has developed a computer-aided system named Easy Way to Evaluate LMSs (EW-LMS) for the quick and efficient evaluation of LMSs especially for developing countries where the idea of using an LMS may be relatively new. The investigation described in this article was carried out with 88 voluntary higher education instructors to test the usefulness of the developed system. Two types of quantitative questionnaires were used during the study. The results obtained indicate that the instructors were highly satisfied using the developed system and the EW-LMS is technically sound and well developed. Theevaluation system can help instructors to select the best LMS appropriate to their educational needs and their type of usage in the shortest possible time with little effort without any specialized technical knowledge/training and by following simple user-friendly steps. The system is oriented to anyone interested in evaluating and using an LMS in web-based education. Those individuals who may be interested in using this software are instructors students or anyone else who may have an interest in LMSs and educational organizations such as universities schools and institutes.;2013;learning management systems (lmss) contain hidden costs unclear user environments bulky developer and administration manuals and limitations with regard to interoperability integration localization and bandwidth requirements. careful evaluation is required in selecting the most appropriate lms for use and this is a general problem in web-based education. one possibility is to automate this evaluation process using computer-aided techniques. ın this article the researcher has focused on the idea of automating the evaluation process and has developed a computer-aided system named easy way to evaluate lmss (ew-lms) for the quick and efficient evaluation of lmss especially for developing countries where the idea of using an lms may be relatively new. the investigation described in this article was carried out with 88 voluntary higher education instructors to test the usefulness of the developed system. two types of quantitative questionnaires were used during the study. the results obtained indicate that the instructors were highly satisfied using the developed system and the ew-lms is technically sound and well developed. theevaluation system can help instructors to select the best lms appropriate to their educational needs and their type of usage in the shortest possible time with little effort without any specialized technical knowledge/training and by following simple user-friendly steps. the system is oriented to anyone interested in evaluating and using an lms in web-based education. those individuals who may be interested in using this software are instructors students or anyone else who may have an interest in lmss and educational organizations such as universities schools and institutes.
The purpose of this study is to examine the characteristics methodologies and general trends in Educational Technology articles written by authors from Turkey published in journals listed in the SSCI SCI and ERIC indexes from 1990 to 2011. A total of 1151 (SSCI:813 SCI:38 ERIC:300) articles published in 94 journals were examined via content analysis using the 'Educational Technology Papers Classification Form' (ETPCF). The results show that the number of published Educational Technology studies dramatically increased in the years 2002 and 2007. Educational environments and technology distance education and multimedia were the predominant subjects of the articles though there were variations in terms of research topics and methodologies. Regarding research methodologies quantitative studies were the most common type. Questionnaires and interviews were most commonly used as data collection tools and the convenience sampling method was also widely used. The frequently studied sample participants were preservice teachers and other undergraduate students. In the present study cross tabulation is used to present the findings. (C) 2013 Elsevier Ltd. All rights reserved.;2013;the purpose of this study is to examine the characteristics methodologies and general trends in educational technology articles written by authors from turkey published in journals listed in the sscı scı and erıc indexes from 1990 to 2011. a total of 1151 (sscı:813 scı:38 erıc:300) articles published in 94 journals were examined via content analysis using the 'educational technology papers classification form' (etpcf). the results show that the number of published educational technology studies dramatically increased in the years 2002 and 2007. educational environments and technology distance education and multimedia were the predominant subjects of the articles though there were variations in terms of research topics and methodologies. regarding research methodologies quantitative studies were the most common type. questionnaires and interviews were most commonly used as data collection tools and the convenience sampling method was also widely used. the frequently studied sample participants were preservice teachers and other undergraduate students. ın the present study cross tabulation is used to present the findings. (c) 2013 elsevier ltd. all rights reserved.
The spring 2012 online ConfChem conference a Virtual Colloquium to Sustain and Celebrate IYC 2011 initiatives in Global Chemical Education was held from May 18 to June 28 2012 during which time material was presented and discussed on 18 different projects and initiatives associated with the United Nations International Year of Chemistry (IYC). This post-IYC 2011 virtual colloquium was a collaborative effort between the IUPAC Committee on Chemistry Education (CCE) and the ACS Division of Chemical Education Committee on Computers in Chemical Education (CCCE) with two underlying objectives: first to celebrate and further disseminate information on IYC 2011 activities and second to provide a discussion platform to share ideas on how to sustain these projects and initiatives beyond 2011. This communication is the first of a series of communications in this edition of ICE on this virtual colloquium and the authors have uploaded as supporting information to their individual communications both the original ConfChem documents and the associated discussion threads.;2013;the spring 2012 online confchem conference a virtual colloquium to sustain and celebrate ıyc 2011 initiatives in global chemical education was held from may 18 to june 28 2012 during which time material was presented and discussed on 18 different projects and initiatives associated with the united nations ınternational year of chemistry (ıyc). this post-ıyc 2011 virtual colloquium was a collaborative effort between the ıupac committee on chemistry education (cce) and the acs division of chemical education committee on computers in chemical education (ccce) with two underlying objectives: first to celebrate and further disseminate information on ıyc 2011 activities and second to provide a discussion platform to share ideas on how to sustain these projects and initiatives beyond 2011. this communication is the first of a series of communications in this edition of ıce on this virtual colloquium and the authors have uploaded as supporting information to their individual communications both the original confchem documents and the associated discussion threads.
The research presented in this paper proposes a new machine learning-based evaluation method for assessing the usability of eLearning systems. Three machine learning methods (support vector machines neural networks and decision trees) along with multiple linear regression are used to develop prediction models in order to discover the underlying relationship between the overall eLearning system usability and its predictor factors. A subsequent sensitivity analysis is conducted to determine the rank-order importance of the predictors. Using both sensitivity values along with the usability scores a metric (called severity index) is devised. By applying a Pareto-like analysis the severity index values are ranked and the most important usability characteristics are identified. The case study results show that the proposed methodology enhances the determination of eLearning system problems by identifying the most pertinent usability factors. The proposed method could provide an invaluable guidance to the usability experts as to what measures should be improved in order to maximize the system usability for a targeted group of end-users of an eLearning system. (C) 2013 Elsevier B.V. All rights reserved.;2013;the research presented in this paper proposes a new machine learning-based evaluation method for assessing the usability of elearning systems. three machine learning methods (support vector machines neural networks and decision trees) along with multiple linear regression are used to develop prediction models in order to discover the underlying relationship between the overall elearning system usability and its predictor factors. a subsequent sensitivity analysis is conducted to determine the rank-order importance of the predictors. using both sensitivity values along with the usability scores a metric (called severity index) is devised. by applying a pareto-like analysis the severity index values are ranked and the most important usability characteristics are identified. the case study results show that the proposed methodology enhances the determination of elearning system problems by identifying the most pertinent usability factors. the proposed method could provide an invaluable guidance to the usability experts as to what measures should be improved in order to maximize the system usability for a targeted group of end-users of an elearning system. (c) 2013 elsevier b.v. all rights reserved.
Numerous studies have attempted to explain the role of social networking platforms within educational environments though none of them has reported on their potential for enhancing professional development in education. The purpose of this qualitative research was to explore the reflections of prospective teachers who were assigned to design and conduct instruction on Facebook. Seven groups of prospective teachers (n=25) attending a teacher training program in Turkey participated in the study. Reflections of these prospective teachers on online teaching through Facebook were elicited by means of reflective papers. As an outstanding result of the online teaching project in the current study the prospective teachers gained positive experiences in utilising Facebook for designing and implementing online teaching activities that are in accordance with the constructivist learning paradigm. However sustaining learner involvement enhancing interaction and problems resulting from group work processes were observed as destructive issues throughout the online teaching project.;2014;numerous studies have attempted to explain the role of social networking platforms within educational environments though none of them has reported on their potential for enhancing professional development in education. the purpose of this qualitative research was to explore the reflections of prospective teachers who were assigned to design and conduct instruction on facebook. seven groups of prospective teachers (n=25) attending a teacher training program in turkey participated in the study. reflections of these prospective teachers on online teaching through facebook were elicited by means of reflective papers. as an outstanding result of the online teaching project in the current study the prospective teachers gained positive experiences in utilising facebook for designing and implementing online teaching activities that are in accordance with the constructivist learning paradigm. however sustaining learner involvement enhancing interaction and problems resulting from group work processes were observed as destructive issues throughout the online teaching project.
