Abstract;Year
Diced Cartilage Grafts in Rhinoplasty Surgery: Current Techniques and Applications;2009
Rhinorrhea as a Rare But Disturbing Complication of Rhinoplasty;2009
Rhinobase: A Comprehensive Database Facial Analysis and Picture-Archiving Software for Rhinoplasty;2009
Recycling the Dorsal Hump: A Simple Technique to Prevent Dorsal Irregularities in Primary Rhinoplasty;2010
A Comfortable and Practical Nasal Packing Method: Tied Merocel in Clear Glove Finger Impregnated with Lidocaine-Prilocaine Cream;2010
Selection of Osteotomy Type in Selected Group of Patients for Rhinoplasty;2012
Use of Natural Olive Oil for Postoperative Care in Rhinoplasty;2013
An Easy and Applicable Method for Capturing High-Quality Rhinoplasty Videos: Handle Banded Camcorder;2013
Docile Splay graft for middle vault reconstruction;2013
A New Way for Supporting Tip Projection in Closed Rhinoplasty: Using the Medial Deep SMAS Layer;2014
Severe Facial Dermatitis Following Rhinoplasty due to an Unusual Etiopathogenesis: Rosacea;2015
A Rare Late Complication of Rhinoplasty: Dorsal Nasal Cyst;2015
Simplifying the Management of Caudal Septal Deviation in Rhinoplasty;2015
The Chef's Knife in Oblique Split Technique for Rhinoplasty;2015
An Easy Spreader Graft Fixation Technique by Using a Modified Speculum in Rhinoplasty;2015
Cyst Formation Following Rhinoplasty and Reconstruction With Diced Conchal Cartilage Wrapped in Mastoid Fascia Following Excision;2015
Reply: Revisiting the Role of Columellar Strut Graft in Primary Open Approach Rhinoplasty;2015
Response to Comments on 'The Lateral Crural Rein Flap: A Novel Technique for Management of Tip Rotation in Primary Rhinoplasty';2015
Comments on The Lateral Crural Rein Flap: A Novel Technique for Management of Tip Rotation in Primary Rhinoplasty;2015
A new use for an old instrument: Laborde tracheal dilator for endonasal rhinoplasty;2016
A Practical Tool That Can Be Used During Open Rhinoplasty: Hooked Hairgrip;2017
Discussion: Free Diced Cartilage: A New Application of Diced Cartilage Grafts in Primary and Secondary Rhinoplasty;2017
New Instruments for Submembranous Dissection in Rhinoplasty;2017
Autologous Costal Cartilage Harvesting Technique and Donor-Site Pain in Patients Undergoing Rhinoplasty Reply;2018
Magnet-Assisted Skin Flap Retraction in Open Rhinoplasty;2018
Preoperative Photographing and Morphing for Predictable Profiles in Rhinoplasty Precision Profileplasty;2018
Comments on Alternative Rhinoplasty Technique: Rotational Spreader Flap (Rabbit Flap);2018
Response to Comments Made on Alternative Rhinoplasty Technique: Rotational Spreader Flap (Rabbit Flap);2018
Cerci-Adson-Brown Tissue Forceps: A New Design for Better Crafting the Grafts in Rhinoplasty;2018
Comments on: The comparison of edema and ecchymosis after piezoelectric and conventional osteotomy in rhinoplasty.;2018
Medial Laminectomy of the Large Concha Bullosa in Crooked Nose;2018
Open Piezo Preservation Rhinoplasty: A Case Report of the New Rhinoplasty Approach;2019
Filler rhinoplasty (non-surgical nose job);2019
Facial Herpes Zoster Following Rhinoplasty: A Rare Complication;2019
Profile Templates to Use during Surgery in Precision Rhinoplasty;2019
A rare septorhinoplasty complication: Unilateral periorbital subcutaneous amphysema;2019
The Effects of Vibration Treatment in Rhinoplasty;2020
Minimally invasive cortical bone collector: A new tool in rhinoplasty;2020
Effects of Rhinoplasty on Smile Esthetic and Gingival Appearance: Comment;2020
What Is the Effect of Different Costal Cartilage Carving Methods on Warping during Rhinoplasty?;2020
Concept of Anatomic Columellar Strut Grafting in Rhinoplasty: An Algorithmic Approach;2020
Invited Discussion On: Nasal Obstruction and Rhinoplasty-A Focused Literature Review;2020
A Special Instrument for Harvesting the Split Rib Graft for Revision Rhinoplasty: Ors Retractor;2020
Re: Video Standards for Rhinoplasty Education: A Review and Recommended Guidelines by Hakimi et al.;2020
Invited Discussion on: Closed Rhinoplasty with a Mushroom-Shaped Costal Cartilage Graft in East Asian Noses;2020
Key Points in Subperichondrial-Subperiosteal Dissection;2021
Piezoelectric Osteotomies in Dorsal Preservation Rhinoplasty;2021
Serratus anterior plane block for tertiary revision rhinoplasty with rib cartilage harvest;2021
Invited Response on: The Importance of Multiple Different Rhinoplasty Consultations in Patient Selection;2021
Inferior Turbinate Surgery with a Piezo Device in Rhinoplasty;2021
How Should the Cellphone Be Used to Obtain Good Pictures for Rhinoplasty?;2021
Invited Discussion on: Forehead Contouring as an Adjunct to Rhinoplasty: Evaluation of the Effect on Facial Appearance Personal Traits and Patient Satisfaction;2021
Airflow Considerations and the Effect of Webster's Triangle in Reduction Rhinoplasty (Feb 10.1007/s00266-021-02168-9 2021);2021
New Concepts in Dorsal Nasal Augmentation;2021
Alar Base Reduction Nuances and Techniques;2022
;2021
A 24-year-old female patient with a dorsal nasal hemangioma mimicking a prominent dorsal nasal hump which was noticed during the rhinoplasty operation is presented.;2014
A case of severe alar retraction and underprojected nasal tip due to hypoplastic lateral crura was successfully treated using a columellar strut graft lateral crus replacement graft and lateral crus caudalization graft and Medpor implant. Level of Evidence IV This journal requires that authors assign a level of evidence to each article. For a full description of these Evidence-Based Medicine ratings please refer to the Table of Contents or the online Instructions to Authors at http://www.springer.com/00266.;2012
A diagnosis of an aesthetic smiling deformity which is functional rather than anatomic is essential for provision of the best treatment in rhinoplasty. Smiling deformity consists of three elements: (a) the nasal tip tending to retrodisplace and rotate inferiorly (b) the lower part of the upper lip moving superiorly and (c) a horizontal groove occurring in the midphiltral area. An active depressor septi and orbicularis muscle can accentuate a drooping nasal tip and shorten the upper lip during smiling. Downward movement of the nasal tip and a sharper nasolabial angle usually are aesthetically unpleasant. During the study period (January 2000 to January 2004) the authors identified 38 patients with smiling deformities 16 of whom underwent dissection and transposition of the paired depressor septi during rhinoplasty. The remaining 22 patients experienced hyperactivity of both the depressor septi and orbicularis muscles as diagnosed by a descending nasal tip and a shortened upper lip at animation. These patients underwent a modification of the depressor septi and orbicularis muscles. No relapse was evident up to 2 years postoperatively. Repositioning of the depressor septi nasi muscle improved only mild cases. However modification of the orbicularis and depressor septi muscles was a valuable adjunct to rhinoplasty for moderate and severe forms of smiling deformity. The new approach for smiling deformity provided an aesthetically pleasant appearance for the patient both at rest and when smiling.;2005
A double-blind randomized study was designed to determine the efficacy of dexamethasone in decreasing periorbital edema and ecchymosis after rhinoplasty. Sixty rhinoplasty patients undergoing hump resection and lateral osteotomy were included in the study and were divided into 6 groups: group I (n = 10) single dose of 8 mg intravenous (IV) dexamethasone I hour before the operation group 2 (n = 10) single dose of 8 mg IV dexamethasone at the beginning of the operation group 3 (n = 10) 3 doses of 8 mg IV dexamethasone I hour before the operation and 24 and 48 hours after the operation group 4 (it = 10) 3 doses of 8 mg IV dexamethasone at the beginning of the operation and 24 and 48 hour after the operation group 5 (n = 10) 3 doses of 8 mg IV dexamethasone immediately after the operation and 24 and 48 hours after the operation group 6 (it = 10) control no dexamethasone administration before or after the operation. Intraoperative blood loss was recorded for each patient. Patients were evaluated at 24 hours and days 2 5 7 and 10. For the postoperative evaluation of periorbital ecchymosis and edema a scale of 0 to 4 points was used. There was no significant difference between groups in terms of bleeding (P > 0.05). In the groups using steroid before osteotomy edema and ecchymosis were significantly lower during the first 2 days compared with the control group (P < 0.05). No significant difference was seen between groups I and 2. When patients were evaluated on day 5 edema and ecchymosis were significantly lower in groups 3 and 4 (P < 0.05) compared with other groups but there was no difference between them. Group 5 had a significantly higher level of edema and ecchymosis compared with groups I through 4 at 24 hours and at days 2 5 and 7 (P > 0.05). There was no significant difference between groups on day 10. In conclusion if the first dose is given before osteotomy triple-dose steroid application is the best bet for decreasing postoperative edema and ecchymosis. None of the patients had any complications related to the use of dexamethasone.;2003
A double-blind randomized trial with placebo control was planned to evaluate the effects of corticosteroids (betamethasone dexamethasone methylprednisolone) in approximately equivalent doses (8 mg dexamethasone/day) and to compare their effects with that of tenoxicam an antiinflammatory drug on both the edema and ecchymosis in open rhinoplasty with osteotomies. For this study 40 patients were divided randomly into five groups of 8 patients each which received respectively betamethasone (group 1) dexamethasone (group 2) methylprednisolone (group 3) tenoxicam (group 4) and placebo (group 5). Open rhinoplasty with osteotomies was performed by the same surgeon with the patient under general anesthesia. Drugs were administered just before the induction of anesthesia and continued for 3 days. Only acetaminophen was used to control postoperative analgesia. Digital photographs of each patient were taken on postoperative days 1 3 and 7. Scoring was performed separately for eyelid swelling and ecchymosis by three observers independently using a graded scale from 0 to 4. No statistically significant differences existed among the five groups in terms of age sex duration of surgery amount of bleeding and intravenous fluid administration during the surgery. On postoperative days 1 3 and 7 no differences in the levels of ecchymosis or edema among the steroid groups the tenoxicam group and the control groups were observed. In conclusion the authors observed no significant differences among the different kinds of steroids administered in equivalent doses (8 mg dexamethasone/day). Steroids used in these doses were not effective in preventing or reducing edema and ecchymosis after open rhinoplasty with osteotomies. Tenoxicam also was not effective. No complications caused by the use of steroids were observed during the 6-month follow-up period.;2006
A fuzzy logic-based model is used for generating an index which reflects the harmony of nasal proportions of a rhinoplasty patient. The index generated by the model is intended to be used as an objective tool for evaluating the harmony of nasal proportions of the patient. One of the possible uses of the index is to rate the nasal proportions of the patient relative to an ideal nose. Another possible use of the index is to generate a score for the patient before and after the rhinoplasty operation so that the improvement due to rhinoplasty operation can be determined objectively. (C) 2006 The Franklin Institute. Published by Elsevier Ltd. All rights reserved.;2006
A meticulous nasal dorsal dissection is an indispensable tool for a successful rhinoplasty. To achieve an aesthetically pleasing dorsum fine dissection of the upper lateral cartilages (ULC) nasal bones and keystone area is crucial. In this Featured Operative Technique article the author describes a different concept of nasal dorsal skeletonization: the perichondro-periosteal flap technique. This technique has several advantages in restoring the nasal dorsum after hump reduction. Namely the preparation and protection of the perichondrium and the periosteum of the nasal dorsum as a single entity allows a healthier separate-layer closure over the osseocartilaginous dorsum.;2013
A new technique for the correction of the severely deviated nose is described. After submucosal resection of the septum the nasal hump is resected reversed and reinserted. This technique was applied to 27 patients over a four-year period with successful results. The advantages and disadvantages of the method are discussed.;1995
A novel method for repair of septal perforations. Fifteen volunteers with symptomatic septal perforations were recruited. Open technique rhinoplasty approach was preferred: auricular conchal cartilage graft with intact perichondrium on both sides was harvested and shaped to fit the perforated site and attached to the septum with absorbable sutures. All margins of the graft were covered with nasal mucosa. The severity of patient symptoms was assessed at preoperation 3 and 6 months postoperatively via visual analogue scale (VAS). Crust formation whistling nasal blockage epistaxis and overall comfort were evaluated. Mucosal physiology was assessed by nasal mucociliary clearance time. The mean age of the patients was 47.3 years. Average perforation size was 1.86 +/- A 0.78 cm. 14/15 (93.3%) perforations were repaired and only one patient required revision surgery. VAS scores improved significantly (p < 0.001). Mean mucociliary clearance time improved from 17.6 +/- A 3.83 to 10.3 +/- A 3.30 min and 9.3 +/- A 3.36 min at 3 and 6 months respectively. This is a novel simple and safe method for repairing the deficient mucosal area in septal perforations up to 25 mm in diameter.;2012
A novel technique for maintaining nasal tip support and external nasal valve integrity is proposed. The procedure involves mobilizing the lateral crus to a more cranial position after altering its shape from convexity to a more flat shape. With the described technique the lower lateral cartilage is dissected free from the skin in a retrograde fashion after an intercartilaginous incision. The ligament between the lateral crus and the upper lateral cartilage is cut. The vestibular mucosa is not freed. With this maneuver the lateral crus usually flattens sufficiently. When the convexity flattens an extra millimeter of cartilage at the cephalic end is gained in the horizontal dimension. When the cut vestibular mucosa is sutured back to its place the cephalic end of the lateral crus is advanced over the upper lateral cartilage. This technique allows durable support to maintain patency of the nasal valve. No bridges are burned because no cartilage is excised. The surgeon is left with the flexibility to modify the result on the operating table. The technique was successfully used for 48 consecutive patients over a 3-year period. All the operations were primary rhinoplasties performed using a closed technique. The mean age of the patients was 32 years. For 72% of the patients septoplasty also was performed. None of these patients had to undergo reoperation. The authors emphasize the importance of the lateral crus in rhinoplasty and demonstrate that good results at the tip of the nose can be accomplished without cephalic trimming averting related complications in selected cases.;2009
A perfect surgical approach to nasal cavity and paranasal sinus tumors should provide a broad exposition preserving the important structures with no cosmetic defect. Midfacial degloving (MD) technique provides good exposure without incisions and scars in the face. Classic MD technique includes rhinoplasty incisions. However combination of the facial plastic skills of the rhinoplasty techniques with an oncologic approach limits its popularity. We modified the classic technique which is performed without classic rhinoplasty incisions. The surgical approaches to 55 patients with benign and malignant sinonasal neoplasms are reviewed and the modification of MD technique performed without rhinoplasty incisions is described. The study includes 41 male and 13 female patients with both benign and malignant sinonasal neoplasms. The ages of the patients were between 9 and 78 years with a mean age of 41.15 years. Follow-up of the patients ranged from 2 to 96 months with a mean of 31.7 months. Most of the cases were angiofibroma and inverted papilloma. Modified MD approach was used for all patients and in 6 cases the technique was combined with subcranial approach. We successfully resected the tumors in all of the patients. The most frequently encountered complaint in the postoperative period was temporary nasal crusting and epistaxis. An important complication was the rupture of subpetrous part of the internal carotid artery in one patient and also a temporary facial palsy in another one. Palatal dysfunction oroantral fistula or vestibular stenosis which are significant complications of MD were not observed in any of our cases. In this modified technique rhinoplasty incisions are not used therefore the duration of operation is shortened the technique becomes easier and the incisions of the rhinoplasty procedure which could cause circular stenosis are avoided.;2008
A slightly convex forehead without wrinkles adds attractiveness to a woman's face and to the general perceived image. It is also important for the balance and harmony of the face especially in the lateral and oblique views. We used a new fat injection technique for correction of the contours of the forehead. In this study fat injection was applied in nine female patients for restoring the contour and reducing forehead wrinkles along with a primary rhinoplasty operation. After dissecting all forehead skin from the underlying muscle with a sharp curved-tip epidural needle fat grafts were injected into the newly created pocket until the forehead area looked moderately ballooned and gentle digital pressure was used for feathering. The patients wore hair bandages continuously for 2 weeks after the operation. The minimal follow-up time was 12 months (range = 12-48 months) and all the patients were pleased with the results. When we compared the photos before and after the operation it was observed that the fat grafts were stable and retained the volume replacement. Patients declared that they had glossy and better quality skin after the operation and also had new regenerated contours. We did not observe any complications. We performed only one additional lipofilling in one patient to obtain an optimal forehead contour. This technique is easy to perform and effective in reducing forehead wrinkles and correcting the contour. It was also observed that better perceived nasal results could be obtained with concomitant forehead lipofilling in rhinoplasty operations.;2012
A spreader flap or autospreader flap is a flap used for dorsal reconstruction in primary rhinoplasty after cartilage dorsum excision. Despite its significant advantages the spreader flap also has distinct shortcomings. The most common problem encountered in using a spreader flap is the technique's inability to provide adequate dorsal width compared with spreader grafts. Additionally the use of a spreader flap has not been described for special cases such as crooked noses cases with minimal dorsal humps and secondary cases. This report presents the authors' modification of the spreader flap technique to expand its indications and extend the spreader effect down to the entire dorsum. This modification positions and fixes the medial borders of the upper lateral cartilages (ULCs) on both sides of the septum by asymmetric mattress sutures. Using the ULCs without folding affords the opportunity to restore a dorsum with sufficient width. Different entry and exit points of the suture help to maintain the cartilage substance horizontally rather than folded as in the conventional spreader flap technique. Another drawback of the spreader flap technique is its inability to address the lower third of the dorsum when ULCs do not extend down to the anterior septal angle (ASA). In these cases attempts were made to extend the spreader effect by placing two small cartilage grafts on both sides of the ASA. Over a period of 2 years the authors operated on 169 patients. For 81 of these patients the modified spreader flap alone was used and for the remaining 88 patients both the modified spreader flap technique and ASA grafting (combined modification) were used. During a mean follow-up period of 17 months no narrowing in the middle nasal dorsum and no inner valve deficiencies were seen in any of the cases.;2011
A successful rhinoplasty mainly depends on maintaining adequate nasal tip projection and achieving the desired tip refinement. In endonasal rhinoplasty the surgeon can modify the tip anatomy while still preserving the key structural support mechanisms. Herein we describe a new modification of retrograde technique for the resection of the cephalic margin of the lateral crus in endonasal rhinoplasty in which a combined resection of the cephalic margin of the lateral crus and its underlying mucoperichondrium are performed.;2012
A thin or damaged skin soft tissue envelope may cause concerns in primary and secondary rhinoplasty. During postoperative healing unpredictable scarring and contraction may occur and lead to significant aesthetic and trophic sequelae. Besides a meticulous surgical technique there are no reliable techniques to prevent long-term skin damage and shrinkage. Fat transfer with addition of platelet-rich fibrin (PRF) harbors the possibility of local soft tissue regeneration and skin rejuvenation through growth factors and mesenchymal stem cells. It may also facilitate the creation of a thin fat layer on the dorsum to prevent shrink-wrap forces and conceal small irregularities. The goal is to provide evidence for the feasibility durability and beneficial effect of diced macrofat transfer bonded with PRF on the nasal dorsum. We present the technique of fat transfer conjugated with PRF as a nasal dorsal graft. Clinical endpoints were the prevention of trophic disturbances and atrophy at a 1-year postoperative follow-up. We present the skin mobility test as a clinical indicator of a healthy soft tissue envelope. The presented case series consists of 107 rhinoplasties. Fat was harvested in the umbilical or costal region. PRF was created by centrifugation of autologous whole blood samples. Macrofat was diced cleaned and bonded with PRF. The compound transplants were transferred to the nasal dorsum. There were no perioperative complications or wound-healing issues. Mean follow-up was 14 months. Clinical inspection showed good skin quality and no signs of shrinkage marked scarring or color changes with positive skin mobility test in all patients. Survival of fat was confirmed by ultrasonography and magnetic resonance imaging. Diced macrofat transfer in conjunction with PRF to the nasal dorsum is a feasible and safe method. A beneficial effect on the soft tissue envelope is demonstrated as well as the prevention of shrink-wrap forces.;2021
A video of revision rhinoplasty on a Middle Eastern nose accompanies this article In this article the main characteristics of Middle Eastern patients seeking rhinoplasty are reported. Besides the preoperative preparation surgical techniques that can be used to obtain good results are discussed. The pitfalls of profile alignment tip procedures and skin have been noted as well.;2014
A visible scar on the columella is undesirable result for both patient and surgeon. So it is one of the major disadvantage of open nose surgery. Different columellar incision types have been used in open technique of nasal surgery. In this prospective study we compare W incisions and inverted-V columellar incisions with a scar assessment scale. In this prospective randomized study open nasal surgery (open rhinoplasty and open technique septoplasty) were performed on 93 patients between November 2009 and July 2012. The inverted-V incision was used on 31 patients (24 males 7 females). The W incision was used on 62 patients (40 males 22 females). The entire surgical procedure was performed by a single surgeon. The columellar incision was closed using 6-0 interrupted polypropylene sutures. All sutures were removed on the seventh postoperative day. Scars were assessed at 6 moths with 3 items scar assessment scale we observed satisfactory scar pigmentation and notching. We compared both groups and found that the scar pigmentation notching and scar formation are similar to each other. As a result of this study we concluded that the inverted-V incision or W incision might be a similar choice in open nasal surgery.;2018
A wide variety of autologous grafts have been used for the coverage of contour deformities in rhinoplasty. Mastoid fascia tissue (MFT) grafts are easy to harvest and very versatile and the resulting donor site scar is not visible. Natural looking results can be obtained with MFT grafts when used for the coverage of dorsal irregularities for dorsal augmentation for camouflaging abnormalities related to skin atrophy and even for tip-of-nose coverage and tip augmentation. Mastoid fascia tissue was used as a graft in 8 primary and 22 secondary cases for various purposes. All patients had satisfactory cosmetic results. Used in conjunction with a rigid graft such as cartilage MFT grafts which are ideal fillers can be successfully used in rhinoplasty.;2012
Aesthetic diagnosis of the smiling deformity which is functional rather than anatomical is essential to provide the best treatment in rhinoplasty. The nasal tip tends to rotate inferiorly during smiling and the central upper lip moves superiorly. A posteriorly sloping upper lip with a retrodisplaced columella-labial junction gives an unaesthetic appearance. Downward movement of the tip and a sharper nasolabial angle are usually aesthetically unpleasant. In 28 nasal surgeries augmentation of the columella-labial angle with cartilage strip grafts has been performed. The augmentation of the angle and additionally cutting of the depressor septi muscle created a wider nasolabial complex and this angle looks full and more pleasant. This procedure has mainly been used as an additional procedure to standard reduction rhinoplasty in order to improve smiling deformity. Strip cartilage grafts were inserted subcutaneously into the upper lip extending half way to the columella and secured with a transcutaneous suture under the columella labial angle to prevent misslocation. Augmentation by the cartilage graft together with cutting the depressor septi muscle prevented elevation and shortening of the upper lip and also drooping of the nasal tip. This procedure provided an aesthetically pleasant appearance both at rest and during smiling.;1998
After harvesting the conchal cartilage in a large series of secondary rhinoplasties using the anterior approach there was a marked improvement in the shape of the auricle with unnoticeable scarring hidden under the convolution of the antihelix. In this series of 250 cases there were no hypertrophic scars or keloid formations. Based on these favorable results a new modification of otoplasty was developed using only the anterior approach. Between 1992 and 2000 108 otoplasties were performed on 55 patients to correct the prominent ear using only the anterior approach. All maneuvers used in modern otoplasty such as conchal reduction scaphal cartilage scoring and folding placement of horizontal mattress buried sutures conchal setback and the positioning of the tail and upper pole can be easily and effectively performed using only the anterior approach as described in this article. The use of an anterior approach does not disturb the neurovascular system of the ear because it is located on the ear's posterior side. Overall patient and physician satisfaction has continued to be very high during the 8 years that this technique has been used. Some patients experienced a few minor complications such as postoperative pain (16.3 percent) late suture reaction (1.8 percent) hidden helix (3.6 percent) and partial relapse (3.6 percent) that were easily corrected by the application of a Kaye-type buried suture and that were not directly related to the technique.;2001
After hump removal in reduction rhinoplasty one of the main steps is to rebuild the middle vault. Spreader grafts have long been the main tool for the surgeon. Within the last two decades the spreader flaps have started to be very popular as well. In accordance with the experience and technical preferences of the surgeon there are many different options. In this article the spreader grafts are classified as traditional modified splinting and reconstructive. The spreader flaps are designed in accordance with their relationship with the septum and the spreader grafts.;2016
After rhinoplasty during the first 24 hours the patients should be closely monitored for pain and discomfort nausea and vomiting and cool compresses must be applied regularly to decrease edema and ecchymosis. In the early postoperative period of the first month the sutures cast and splints are usually removed during the first week. Then the patient is followed-up at 1 3 6 and 12-month intervals routinely to observe healing. In the meantime any kind of intranasal and extranasal complications should be noted. The outcome measures such as ROE NOSE or SCHNOS should be used 3 to 6 months after surgery. If the patient is closely followed-up then any unwanted complication or dissatisfaction can be solved after 6 to 12 months.;2018
Aim: In this study we aimed to compare the effects of standard verbal information in the preoperative period and the information by visual expression and physical applications in the development of agitation edema and ecchymosis in the postoperative period. Materials and Methods: The study was carried out in 60 ASA I-II patients who were going to undergo open rhinoplasty by plastic surgery. In the Preoperative Anesthetic Assessment the patients were divided into two groups as the patients given standard verbal information (Group S n = 30) and those informed with a catalog which contains visuals (Group V n = 30) In the preoperative period anxiety levels of the patients were evaluated. Standard anesthesia induction was performed in both groups after standard monitoring. Patients were monitored in the post-anesthesia care unit and ward. Patient's extubation quality presence of postoperative agitation and periorbital edema and ecchymosis at the 6th 12th 18th and 24th hours were evaluated. Results: No significant difference was found between the groups in terms of intraoperative and postoperative MAP HR extubation quality presence of recovery agitation postoperative pain development edema and ecchymosis (P > 0.05). Significant positive correlation was found between post-extubation MAP and edema scores at the 16th and 24th hours postoperatively and between the post-anesthesia care unit entry MAP and ecchymosis at the 24th postoperative hours independently of the groups (r = 0.27P = 0.038 r = 0.302P = 0.019 r = 0.345P = 0.007 respectively). Result: In our study it was concluded that detailed visual information and physical application in the preoperative period among rhinoplasty patients had no effect on the incidence of postoperative agitation development of edema and ecchymosis.;2020
Aim: The aim of this study was to investigate the effect of piezoelectric surgery (piezosurgery) on soft tissue in open septorhinoplasty. Methods: A total of 30 patients (21 females 9 males mean age 29.16 +/- 8.17 years range 18-43 years) who underwent open septorhinoplasty between January 2019 and February 2019 were randomly divided into 2 groups. After the nasal dorsum was opened in all groups 1 mm(3) tissue under the skin in radix region was taken as punch biopsy. In the first group (classical group n = 15) the cartilage hump was resected with number 15 scalpel and the bone hump with the help of a chisel. Lateral and median osteotomies were conducted using 4 mm sharp osteotomes. Rasping was performed to dorsum to correct bone deformities. Then 1 mm(3) punch biopsy was taken from under the skin tissue of the nose back near the radix. In the second group (piezo group n = 15) hump excision osteotomies and rasping were performed by piezoelectric surgery. Then 1 mm(3) punch biopsy was taken from the subcutaneous tissue of the nose back near the radix. Biopsies were examined histopathologically in the light microscope for edema necrosis and inflammation. Results: Of the 30 patients presented in this series 21 were female and 9 were male. In the classical group edema in the soft tissue was seen in 86.7% of the cases after osteotomy while this rate was 26.7% in the piezosurgery group. The difference was statistically significant (P < 0.05). Although necrosis was not seen prior to the osteotomy in both groups the rate of necrosis in the classical group was 13.3% and in the piezo group it was 66.7%. Necrosis was significantly different in the piezosurgery group compared with the classical osteotomy group (P < 0.05). Conclusion: Piezosurgery is not completely harmless to soft tissue. A statistically significant increase in subcutaneous necrosis compared with the classical group can be explained by long-term soft tissue trauma caused by piezoelectric vibrations. We think that developing necrosis may cause problems in late period especially in patients with thin skin.;2019
Aim: The forehead region is the ideal site for nasal reconstruction and the biggest disadvantage of the forehead flap used for this purpose is that it requires two or three sessions of surgery. Subcutaneous pedicled forehead flap was described previously. However venous congestion was observed because the vein was ignored while the flap was planned. For this reason we made nasal reconstruction with forehead flap in one stage and planned the flap pedicle to include the vein and artery together. Material and Method: The data of 8 patients who underwent axial subcutaneous pedicled forehead flap due to a defect in the proximal 2/3 of nose between January 2016 and January 2018 were analyzed retrospectively. The mean age of the patients was 62.88 and the mean follow-up period was 14.13 months. Results: The operations lasted 85 minutes on average and nasal defects were reconstructed with a single stage forehead flap. Clinically we observed less venous congestion and less bleeding. No partial or total loss was observed in any flap. All patients were discharged on postoperative day 1. Discussion: The subcutaneous axial pedicled forehead flap can be safely used for defects in the superior 2/3 of the nose. However larger superficial vein should be determined first and then the flap pedicle should be planned by marking the artery while planning this flap. In this way nasal reconstruction is made in one session with a subcutaneous pedicled axial forehead flap that includes both artery and vein.;2020
