1;2;3;4;5;6;7;8;9
G09B15/00;;;;;;;;
G09B5/08;;;;;;;;
G06Q10/10;G06Q50/20;G09B5/14;;;;;;
G06Q50/20;G08C17/02;G09B19/00;H04M1/725;;;;;
G09B19/00;;;;;;;;
A61H7/00;;;;;;;;
G09B5/08;;;;;;;;
A47F5/03;A47F7/00;A47F7/14;;;;;;
G09B5/06;G09B5/14;;;;;;;
F16M11/14;F16M11/20;G09B5/02;;;;;;
H04L29/06;H04L29/08;;;;;;;
G09B5/02;;;;;;;;
G09B19/00;;;;;;;;
G07C1/10;H04N7/18;;;;;;;
A47B13/02;A47B41/00;A47B91/06;;;;;;
G09B19/00;;;;;;;;
G09B5/02;;;;;;;;
B43L21/02;H05K7/20;;;;;;;
G09B5/06;;;;;;;;
A47B63/00;A47B87/00;;;;;;;
G06F17/30;;;;;;;;
G02B27/01;G09B5/02;G09F9/33;;;;;;
G06Q10/10;G06Q50/20;;;;;;;
H04R1/08;;;;;;;;
A63H33/00;;;;;;;;
G06F8/38;G06F8/71;G06Q30/06;H04L29/12;;;;;
G09B5/02;;;;;;;;
G06Q10/06;G06Q50/20;G09B5/00;;;;;;
A47D7/02;;;;;;;;
A47B39/00;A47B39/02;;;;;;;
G06F16/33;G06F17/27;G06Q30/02;G06Q50/20;G09B5/00;;;;
G06F16/951;G06Q50/20;G09B5/00;;;;;;
B43L1/04;B43L21/00;G09B5/06;G09B5/08;G09B7/00;;;;
G08B21/24;;;;;;;;
A63F13/69;G06F16/22;G06Q50/10;G06Q50/20;;;;;
G09B19/00;;;;;;;;
G09B5/02;;;;;;;;
H05K7/20;;;;;;;;
G06Q50/20;G09B7/02;;;;;;;
G06Q50/20;G09B5/06;G09B7/02;;;;;;
G06F17/30;G06Q50/20;H04L29/08;;;;;;
F16M11/04;F16M11/18;G09B5/02;;;;;;
B01L9/02;;;;;;;;
G06F16/245;G06Q10/06;G06Q50/20;;;;;;
G06Q50/20;;;;;;;;
A63H33/00;;;;;;;;
B44D3/18;;;;;;;;
G09B23/18;;;;;;;;
G08B7/06;G09B5/14;H04L29/08;H04M11/06;H04N7/14;;;;
G06F1/18;G09B5/04;;;;;;;
B44D3/18;;;;;;;;
G06Q10/10;G06Q50/20;G09B5/14;H04L29/08;;;;;
A47B97/04;B43L21/02;G09B5/06;;;;;;
H04L29/08;;;;;;;;
G06F16/23;G06F16/25;G06Q10/10;G06Q50/20;H04L29/08;;;;
F16M11/04;F16M11/06;H04N5/225;;;;;;
G06K7/10;G06K9/20;G09B5/04;G09B5/06;;;;;
G06Q10/06;G06Q50/20;H04L29/08;H04W4/02;H04W4/80;;;;
G06F16/958;G06F21/32;G06Q50/20;G09B5/06;G09B7/02;;;;
G09B5/06;;;;;;;;
A47B41/00;A47B41/02;A47B97/00;;;;;;
G09B5/14;;;;;;;;
G06Q50/20;G08C17/02;G09B19/00;H04M1/725;;;;;
G06Q10/10;G06Q50/20;;;;;;;
G06Q50/20;H04L9/06;H04L9/14;H04L9/30;H04L9/32;H04L9/00;;;
G07F17/00;;;;;;;;
G09B5/02;;;;;;;;
A47B97/04;B43L21/00;G09B19/00;;;;;;
B60W40/09;G08G1/09;G08G1/16;;;;;;
G09B5/06;H04L29/06;H04L29/08;;;;;;
A47B97/08;B43L1/04;;;;;;;
G06F16/583;G06F16/9538;G06Q50/20;;;;;;
B08B1/04;G09B5/02;;;;;;;
F16M11/04;F16M11/42;G09B5/06;;;;;;
H04N21/21;H04N21/41;H04N21/61;;;;;;
G09B5/04;;;;;;;;
H04R1/02;;;;;;;;
G02B27/01;;;;;;;;
G06F16/70;G06F16/735;G06Q50/20;G09B5/14;;;;;
G09B5/08;H05K7/20;;;;;;;
F16M11/22;G09B5/06;;;;;;;
G09B19/00;;;;;;;;
G09B5/06;G09B5/08;;;;;;;
A47D13/00;A47D15/00;;;;;;;
G06Q10/10;G06Q50/20;G09B5/08;H04L29/08;;;;;
B08B17/04;B43L1/00;G09B19/00;G09B5/02;;;;;
G09B5/08;G09B5/14;;;;;;;
G06F16/9535;G06Q50/20;G09B5/08;;;;;;
G09B7/00;;;;;;;;
A47F11/02;A47F5/06;A47F5/10;A47F7/00;;;;;
G09B5/06;G09B9/00;;;;;;;
G06Q50/20;;;;;;;;
F16F15/04;F16M11/04;F16M13/02;;;;;;
B01L9/02;;;;;;;;
G09B5/06;;;;;;;;
G09B5/14;H04L29/06;H04L29/08;;;;;;
G06Q50/20;;;;;;;;
G06F16/683;G06F16/783;G06Q50/20;;;;;;
G09F13/00;H05B44/00;;;;;;;
G06F8/30;G06F8/38;;;;;;;
A63F7/04;;;;;;;;
G06Q50/20;G09B5/14;;;;;;;
B43L1/04;F16F15/08;F16M11/04;F16M11/42;G09B5/02;;;;
G09F15/00;;;;;;;;
G09B5/06;G09B5/14;G09B7/02;;;;;;
G09B5/06;H04N7/15;H04W4/30;;;;;;
F16M13/04;G09B5/02;;;;;;;
G06Q50/20;;;;;;;;
G09B5/02;;;;;;;;
G06F21/45;G06Q50/20;;;;;;;
B43L1/04;B43L21/00;G09B19/00;G09F13/02;G09F15/00;;;;
G06Q50/20;H04L29/08;;;;;;;
A47B21/013;G09B5/02;;;;;;;
G06Q50/20;G09B5/14;;;;;;;
A47B9/00;A47B9/20;A47D3/00;;;;;;
G06C1/00;G09B19/02;;;;;;;
A47B41/00;A47B41/02;A47F11/10;A47F5/00;;;;;
G09B5/06;;;;;;;;
G09B19/00;;;;;;;;
G09B5/06;;;;;;;;
G03B21/16;G09B5/02;;;;;;;
G06F3/14;G06Q50/20;H04L29/08;;;;;;
G06Q50/10;G06Q50/20;;;;;;;
G09B5/06;;;;;;;;
G09B5/04;;;;;;;;
G09B25/00;;;;;;;;
G09B19/00;;;;;;;;
G09B19/00;;;;;;;;
G02B23/16;G02B23/20;;;;;;;
A61L2/10;A61L2/18;A61L2/24;;;;;;
G06F16/23;G06F16/25;G06F21/32;G06Q50/20;;;;;
G06Q50/20;;;;;;;;
G09B19/06;;;;;;;;
G05B15/02;G05B19/418;;;;;;;
A63B23/04;;;;;;;;
A47B21/013;A47B21/04;A47B91/06;G09B5/02;;;;;
G06Q10/10;G06Q50/20;;;;;;;
A63H33/00;A63H33/22;A63H33/26;A63H33/30;G09B5/04;H02J7/35;;;
F16M11/04;F16M11/28;H04N5/225;H04N5/232;;;;;
G09B19/00;;;;;;;;
F16M11/08;F16M11/10;F16M11/18;F16M11/42;G03B21/16;G03B21/54;;;
A47B97/04;B43L1/04;;;;;;;
G06Q50/20;G09B7/02;G09B7/06;;;;;;
G06N3/08;G06Q50/20;;;;;;;
G09B19/00;H04L29/08;;;;;;;
A47B19/00;A47B19/10;;;;;;;
A63B21/06;A63B23/02;;;;;;;
G09B5/06;;;;;;;;
A63B21/012;A63B23/04;;;;;;;
H05K5/02;H05K7/20;;;;;;;
A47B97/04;B43L1/00;G09B19/00;;;;;;
A47D13/00;A47D13/06;G08B21/02;;;;;;
G06F16/9038;G06Q10/06;G06Q10/10;G06Q50/20;;;;;
G06Q50/20;G09B5/14;;;;;;;
A47B41/00;A47B41/02;;;;;;;
G09B19/16;G09B7/02;;;;;;;
B25J11/00;;;;;;;;
F16M11/04;F16M11/18;F16M13/02;G09B5/02;H04N7/18;;;;
G09B19/00;;;;;;;;
G09B5/04;;;;;;;;
G06Q50/10;G06Q50/20;;;;;;;
G09B19/00;;;;;;;;
G09B23/02;;;;;;;;
A47B97/04;B43L1/00;;;;;;;
G09B5/04;;;;;;;;
G06F16/41;G06Q50/20;;;;;;;
G09B5/06;;;;;;;;
A47B97/08;B43L1/04;;;;;;;
B44D3/00;B44D3/02;;;;;;;
G06Q10/10;G06Q50/20;;;;;;;
G09B5/06;G09B5/08;;;;;;;
G09B5/06;;;;;;;;
F16M11/28;G03B15/03;G03B15/06;G03B17/56;;;;;
E01F9/623;E01F9/681;;;;;;;
G06Q30/02;G06Q50/20;G09B5/14;;;;;;
G06Q50/20;G07C1/10;H04L29/08;H04W4/029;H04W4/14;;;;
G09B9/00;;;;;;;;
A47B27/02;A47B27/14;A47B97/02;;;;;;
G06Q50/20;G09B5/14;;;;;;;
G06Q20/12;G06Q50/20;G09B19/00;;;;;;
G09B23/06;G09B23/12;G09B23/14;;;;;;
F16M13/02;G09B19/00;H04N5/225;;;;;;
B44D3/18;G09B11/10;;;;;;;
G09F15/00;;;;;;;;
G06Q50/10;G09B1/36;G09B19/00;G09B5/06;H04N5/225;;;;
G06Q50/20;G06Q50/10;;;;;;;
G09B5/06;;;;;;;;
G06Q10/02;G06Q10/06;G06Q50/20;;;;;;
G09B5/06;;;;;;;;
G09B5/08;;;;;;;;
G10K11/16;H04R1/08;;;;;;;
B25J11/00;B25J19/00;G09B5/06;;;;;;
G06Q50/20;G09B5/08;G09B5/14;;;;;;
G09B25/00;G09B5/06;;;;;;;
G06Q10/06;G06Q50/20;;;;;;;
A63H33/00;;;;;;;;
B42F17/02;B42F17/08;;;;;;;
G09B19/02;;;;;;;;
A47B13/08;A47B13/16;A47B37/00;A47B9/10;A47B97/00;;;;
G09B21/00;;;;;;;;
F16M11/10;F16M11/20;G09B5/06;G09B5/08;;;;;
G06Q10/04;G06Q10/06;G06Q50/20;;;;;;
G06Q50/20;G09B5/14;H04L29/08;;;;;;
G09B25/02;;;;;;;;
G06Q50/20;H04L29/08;;;;;;;
B65D25/24;B65D6/22;G09B19/00;G09F15/00;;;;;
B44D2/00;B44D3/00;B44D3/18;;;;;;
G06Q50/20;;;;;;;;
G09B5/06;;;;;;;;
B25J11/00;G09B5/00;;;;;;;
F16F15/02;F16M11/04;F16M11/18;;;;;;
G06Q50/20;G09B19/22;G09B5/06;;;;;;
A63F9/02;A63H33/18;A63H33/26;;;;;;
G06F9/451;G06F9/50;G06Q30/06;G06Q50/20;;;;;
G09B19/00;;;;;;;;
G06F16/75;G06F16/9536;G06N3/08;G06Q50/10;G06Q50/20;;;;
G06K9/00;G06Q50/20;H04N7/18;;;;;;
G06F1/16;G06F1/20;;;;;;;
A45C13/00;A45C13/02;A45C5/14;G09B19/00;;;;;
G09B23/14;;;;;;;;
B43L1/04;B43L21/02;B43L21/04;;;;;;
G09F27/00;;;;;;;;
G09B5/02;;;;;;;;
F16M11/04;F16M11/10;F16M11/16;;;;;;
G09B5/06;;;;;;;;
A63B71/06;;;;;;;;
G06K9/00;G06Q10/06;G06Q50/20;G09B5/06;;;;;
G06Q50/20;G09B5/14;;;;;;;
A63B47/04;A63B69/00;;;;;;;
A47B13/02;A47B21/02;A47B21/04;A47B41/00;A47B41/02;A47B9/00;;;
A41D11/00;G09B19/00;;;;;;;
G06F40/166;G06Q50/20;;;;;;;
G06Q50/10;G06Q50/20;G09B19/00;G09B5/06;;;;;
A47B23/04;A47B41/00;A47B88/919;A47B95/02;;;;;
G06F11/36;G06F8/41;G06F8/70;;;;;;
G06Q50/20;G09B5/08;H04L29/06;H04N7/18;;;;;
H04H20/46;H04H20/61;;;;;;;
F16M11/10;F16M11/18;G09B5/06;;;;;;
G06Q50/20;G09B19/00;G06Q10/06;;;;;;
G06Q50/10;G06Q50/20;G06Q50/22;;;;;;
F16M11/28;F16M11/42;G09B5/02;;;;;;
G06K9/00;G06Q50/20;G09B5/14;;;;;;
G09F15/00;;;;;;;;
G06K9/00;G06Q50/20;;;;;;;
A63F13/80;G06Q50/00;G06Q50/10;G06Q50/20;G06Q50/30;G09B7/06;;;
A63B15/00;G09B19/00;G09F13/00;;;;;;
H04N5/225;H04R1/02;;;;;;;
G06Q10/10;G06Q50/20;;;;;;;
G09B23/12;;;;;;;;
G06F16/335;G06Q10/10;G06Q50/20;G09B5/08;G09B7/00;;;;
A47B97/04;B43L1/04;;;;;;;
G06Q50/20;G09B5/14;;;;;;;
H04R27/00;;;;;;;;
G09B5/02;H05K5/02;H05K7/14;;;;;;
G09B19/00;;;;;;;;
G09B25/00;G09B5/02;;;;;;;
A63H33/04;A63H33/06;A63H33/08;A63H9/00;G09B19/00;;;;
A63H33/00;G09B19/00;;;;;;;
G09B7/06;;;;;;;;
G09B5/14;;;;;;;;
G09B5/06;G09B7/02;;;;;;;
G09B5/06;;;;;;;;
G09B11/10;;;;;;;;
G09B7/02;;;;;;;;
F16M11/32;H04N5/225;H04N5/76;;;;;;
F16M11/38;F16M11/42;G06F1/20;G09B5/02;;;;;
G06Q50/20;G06Q50/26;;;;;;;
G06F8/71;G06Q30/06;H04L12/24;H04L29/08;H04L29/12;H04L9/32;;;
G06F11/14;G06Q50/20;G09B5/14;H04N21/2187;H04N5/76;;;;
G09B19/00;;;;;;;;
A63H33/04;G06Q50/10;G06Q50/20;G09B1/16;;;;;
A01M1/22;F16M11/04;F16M11/18;F16M13/02;G03B21/54;G03B29/00;G09B5/02;;
G06F16/9535;G06F16/9538;G06Q50/20;;;;;;
G09B1/20;;;;;;;;
G09B5/08;;;;;;;;
B25J11/00;B25J19/02;;;;;;;
H05K7/14;H05K7/20;;;;;;;
G06Q50/20;H04L29/08;;;;;;;
G09B5/14;G09B7/02;;;;;;;
G06Q20/36;G06Q30/02;G06Q50/00;G06Q50/20;G06Q50/30;;;;
B65D25/02;G02B27/01;G09B5/02;;;;;;
G06F17/30;G09B5/04;;;;;;;
G06F17/30;G06K9/00;G06K9/62;G06Q10/10;G06Q50/20;G09B19/00;G09B25/00;G09B7/00;
G06Q50/20;;;;;;;;
G06Q10/06;G06Q50/20;;;;;;;
B44D3/04;;;;;;;;
F16F15/08;F16M11/04;F16M11/22;G09B5/02;G10K11/16;G10K11/162;H04N7/15;;
A63B21/00;A63B71/06;G09B5/02;H04N5/225;;;;;
F16M11/04;F16M11/10;F16M13/00;F16M13/02;G09B5/08;;;;
F16M11/04;H04N5/225;;;;;;;
G06Q50/10;G06Q50/20;G09B19/00;;;;;;
B01L9/02;;;;;;;;
G09B5/08;;;;;;;;
G06F1/16;;;;;;;;
G09B25/02;;;;;;;;
G06Q10/06;G06Q10/10;G06Q50/08;G06Q50/20;H04L29/06;H04L29/08;H04W4/02;H04W4/80;
A47B13/08;A47B13/16;A47B19/10;A47B88/40;G09B5/06;;;;
A47B19/00;A47B19/10;;;;;;;
G09B19/00;G09B19/16;G09B9/05;;;;;;
G06Q50/20;G09B5/14;;;;;;;
H04N5/222;H04N5/225;H04N5/76;H05K7/20;;;;;
G09F15/00;G09F27/00;;;;;;;
G06Q50/20;G09B5/08;;;;;;;
G09B19/00;;;;;;;;
H04R1/08;;;;;;;;
G06F19/00;G09B19/00;G09B5/06;;;;;;
G09F15/00;G09F7/22;;;;;;;
G06F21/62;G06Q50/20;;;;;;;
G09F15/00;;;;;;;;
G09F15/02;G09F9/00;;;;;;;
G09B5/08;H04L29/08;;;;;;;
G08B21/24;G09B5/12;G09B5/14;;;;;;
G06Q50/20;G06T5/50;G06T7/30;G09B5/00;H04L29/08;H04N7/18;;;
B43L1/00;G06F1/20;G09B5/06;;;;;;
G09B19/00;;;;;;;;
G06Q50/20;G09B5/14;G09B7/02;;;;;;
G08C23/04;G09B5/06;H04N5/217;H04N5/76;;;;;
G06F21/62;G06Q50/20;;;;;;;
G09B23/04;;;;;;;;
H04L29/06;;;;;;;;
A63B5/20;;;;;;;;
H04L12/24;H04L29/12;;;;;;;
G09B5/06;;;;;;;;
A63B26/00;;;;;;;;
B60R19/02;B60R19/28;;;;;;;
G09B25/00;;;;;;;;
G09B19/00;G09B5/04;G09B5/06;;;;;;
G06Q10/10;G06Q50/20;H04L29/06;H04L29/08;;;;;
A47B97/04;B43L1/04;B43L21/04;;;;;;
G06Q50/20;G09B5/14;H04N5/225;H04N7/18;;;;;
G06F16/43;G06F16/9535;G06Q50/20;G09B5/08;;;;;
A47B97/00;B43L1/04;;;;;;;
G03B21/14;G03B21/16;;;;;;;
G09B7/02;H04L29/06;H04L29/08;;;;;;
G06Q50/20;;;;;;;;
G09B19/00;;;;;;;;
G09B5/12;;;;;;;;
A47D13/06;;;;;;;;
G06F3/0482;G06F3/0484;G06F3/0486;G09B15/00;H04L29/06;;;;
A63H33/26;G09B19/00;G09B5/02;;;;;;
A47B21/007;A47B21/013;A47B81/00;A47F5/12;G09B5/02;;;;
A63F9/10;G09B1/08;;;;;;;
G09B19/00;G09B19/16;G09B5/06;G09B9/00;A63B24/00;G09B23/28;G09B5/08;;
G09B11/00;G09B5/06;;;;;;;
A47B81/06;A47B91/06;A47B96/00;;;;;;
G09B5/06;G09B7/00;;;;;;;
G06Q10/06;G06Q10/10;;;;;;;
G03B17/56;G08C23/04;G09B5/06;H04N5/225;;;;;
B08B17/04;G09B5/02;;;;;;;
G06Q50/20;;;;;;;;
G09F15/00;;;;;;;;
G09B7/00;;;;;;;;
G06Q50/20;G06T19/20;G09B5/06;G09B5/12;G09B9/00;;;;
B43L1/00;F16M11/04;F16M11/26;G09B5/02;;;;;
G06F13/38;G06F13/40;H01R13/502;H01R24/00;;;;;
A47B97/04;B43L1/04;B43L21/00;G09B5/02;;;;;
G06F16/435;G06F16/438;G09B5/06;;;;;;
G09B19/00;G09F15/00;;;;;;;
G06F16/2458;G06Q50/20;G09B5/08;;;;;;
A47B97/04;B43L1/00;G09B19/00;;;;;;
A47B27/02;B43L5/00;G09B11/10;G09B5/02;;;;;
A47F11/02;A47F5/03;A47F5/10;A47F7/14;G09B19/00;;;;
G09F13/00;;;;;;;;
G06F3/01;G09B5/06;;;;;;;
G03B21/58;;;;;;;;
