Abstract;Year;Yil
The potential of modern telecommunications and computing technologies as tools in the delivery and evaluation of assistive technology (AT) has been discussed and has been termed telerehabilitation. The problems of providing AT in rural areas parallels the delivery of health care to rural areas where the proportion of people with chronic illnesses is higher and the means to pay for them is reduced. Large distances mean long travel times, increasing costs associated with any service delivered and consuming valuable tune skilled professionals could be rising to provide services elsewhere. The technology available for practicing telerehabilitation is significant and expanding at a rapid rate. Currently, plain old telephone systems (POTS) and broad-band videoconferencing equipment, Internet and World Wide Web, and embedded processor systems are most widely available. These technologies continue to evolve as well as emerging technologies such as wearable sensors that will have telerehabilitation applications. Issues of payment, safety, liability. and licensure need to be resolved, as legislation lags the development of new technologies.;2001;1
The Rutgers Ankle is a Stewart platform-type haptic interface designed for use in rehabilitation. The system supplies six-DOF resistive forces in response to virtual reality-based exercises running on a host PC. The Stewart platform uses double-acting pneumatic cylinders, linear potentiometers as position sensors, and a six-DOF force sensor. The Rutgers Ankle controller contains an embedded Pentium board, pneumatic solenoid valves, valve controllers, and associated signal conditioning electronics. Communication with the host PC is over a standard RS232 line. The platform movement and output forces are transparently recorded by the host PC in a database. This database can be accessed remotely over the Internet. Thus, the Rutgers Ankle Orthopedic Rehabilitation Interface will allow patients to exercise at home while being monitored remotely by therapists. A prototype was constructed, and proof-of-concept trials were conducted at the University of Medicine and Dentistry of New Jersey. The results indicate that the system works well as a diagnostic tool. The subjective evaluation by patients was very positive. Further medical trials are needed before the system clinical efficacy in rehabilitation can be established.;2001;1
Advancements in sensor, telecommunications, computer, and information technologies present opportunities for providing at home health care and other services required by America's rapidly aging population. The HomeCare & Telerehabilitation Technology Center at The Catholic University of America has been investigating and evaluating current and emerging technologies for applications to care for elderly populations. This paper discusses a spectrum of technologies for interactive communications, physiologic monitoring, health and safety monitoring, health data collection, as well as storage and archiving. An integrated approach to combine and implement these technologies in the home environment may serve to promote successful aging in the elderly by avoiding disease, by maintaining cognitive and physical function, and by enabling lifelong engagement.;2002;1
Current VR telerehabilitation systems use offline remote monitoring from the clinic and patient-therapist videoconferencing. Such store and forward and video-based systems cannot implement medical services involving patient therapist direct interaction. Real-time telerehabilitation applications (including remote therapy) can be developed using a shared Virtual Environment (VE) architecture. We developed a two-user shared VE for hand telerchabilitation. Each site has a telerehabilitation workstation with a videocamera and a Rutgers Master 11 (RMII) force feedback glove. Each user can control a virtual hand and interact hapticly with virtual objects. Simulated physical interactions between therapist and patient are implemented using hand force feedback. The therapist's graphic interface contains several virtual panels, which allow control over the rehabilitation process. These controls start a videoconferencing session, collect patient data, or apply therapy. Several experimental telerehabilitation scenarios were successfully tested on a LAN. A Webbased approach to real-time patient telemonitoring - the monitoring portal for hand telerehabilitation - was also developed. The therapist interface is implemented as a Java3D applet that monitors patient hand movement. The monitoring portal gives real-time performance on off-the-shelf desktop workstations.;2002;1
Objective: To investigate the use of telerehabilitation to support families caring at home for individuals with prolonged states of reduced consciousness. Design: A comparison group approach. Participants: Participants were recruited from a special program that is part of a Model Systems brain injury program located in the Southeast. Five patients, ranging from Rancho I to Rancho 3 were discharged home with family members as the primary caregivers. Procedures: Participant families were followed for 4 to 8 weeks via videophone. Follow-up telephone surveys were conducted with a family member 6 to 9 months after discharge and compared with a similar group that had not received the videophone follow-up. Main Outcome Measures: Present living status, number of emergency room visits, number of hospitalizations, the caregivers' perceptions of functional status and care needs, readmission for rehabilitation and perceived family needs as measured by the Family Needs Questionnaire (FNQ). Results: More patients in the videoconferencing group were still living at home and had returned for rehabilitation. On the FNQ, families in the videophone group reported more of their needs met than families in the comparison group. Conclusions: The use of videoconferencing to bridge the transition to home for families caring for a family member at the Rancho I to Rancho 3 level may assist families in successfully caring for the individual in the home and reducing the number of perceived family needs.;2002;1
Objective: To survey individuals with acquired brain injury to assess multiple facets of interest, access, and familiarity necessary to implement new telerehabilitation technologies. Design: Anonymous mail survey. Setting: Community. Participants: Seventy-one respondents to a survey. These individuals had experienced acquired brain injury (predominantly severe traumatic brain injury [TBI]) and were living in the community. Surveys were mailed by a state chapter of the Brain Injury Association to a random selection of members with acquired brain injury. Main Outcome Measure: Survey designed specifically for this investigation. Results: The survey responses indicate that there is great interest in the possibility of accessing telerehabilitative services among individuals with acquired brain injury. In particular, there was strong interest expressed in services that could be used to assist with problems in memory, attention, problem-solving, and activities of daily living. Conclusions: Telemedicine, and more specifically telerehabilitation, holds great promise as an adjunct to traditional clinical service delivery. Little research in thus area has been applied, however, to individuals with acquired brain injuries. Although on the surface, telerehabilitation seems to be an appropriate assessment and treatment modality for individuals with brain injury, it will only succeed if those individuals have the interest-and tine access-necessary to use new and evolving technologies.;2002;1
Stroke is a leading cause of disability in the United States and yet little technology is currently available for individuals with stroke to practice and monitor rehabilitation therapy on their own. This paper provides a detailed design description of a telerehabilitation system for arm and hand therapy following stroke. The system consists of a Web-based library of status tests, therapy games, and progress charts, and can be used with a variety of input devices, including a low-cost force-feedback joystick capable of assisting or resisting in movement. Data from home-based usage by a chronic stroke subject are presented that demonstrate the feasibility of using the system to direct a therapy program, mechanically assist in movement, and track improvements in movement ability.;2002;1
"Stroke rehabilitation is a challenge that is being continuously addressed in the therapeutic world. A unique system is proposed to address upper-extremity stroke rehabilitation. This system incorporates a modified mass-marketed joystick with three distinct subsystems: a) an extended joystick that enables a larger range of motion and arm movements in both the horizontal and vertical fields that can be augmented with passive springs; b) a controller that implements user-centered assistive or resistive forces based on therapist input to a fuzzy expert system; and c) game-centered forces. The system is currently under evaluation with IRB-approval for both stroke and non-stroke patients.";2002;1
The field of clinical rehabilitation is rooted in the premise that carefully planned and delivered therapeutic intervention enhances patient outcomes. Underlying this statement is a deeper scientific reality: The field exists because biosystems (e.g., tissues, cells, organs, persons) are inherently adaptive and can dynamically change as a function of a sequence of inputs (e.g., exercise, pharmaceuticals). The tools of telerehabilitation hell) minimize the barrier of distance, both of patients to rehabilitative services and of researchers to subject populations. This enhanced access opens up new possibilities for discovering and implementing optimized intervention strategies across the continuum of care. Telecommunications technologies are reviewed from the perspective of systems models of the telerehabilitation process, with a focus on human-technology interface design and a special emphasis on emerging home and mobile technologies. Approaches for providing clinical rehabilitation services through telerehabilitation are addressed, including innovative consumer-centered approaches. Finally, telerehabilitation is proposed as a tool for reinvigorating the rehabilitative bioengineering research enterprise.;2002;1
The motivation behind an intelligent telerehabilitation assistant is described. This system is implemented for mobile telebealth applications that use either PocketPC((R)) or Laptop computers with various types of wireless telecommunications. The system structure includes a telepractitioner terminal, a patient terminal, and a Web-based central station. Multimedia conferencing is possible between terminals, with the telepractitioner having added capabilities such as remote operation. The embedded expert system modules, based on neurofuzzy technology, fall into two categories: task-based modules that facilitate ease of use and implementation of evaluative and therapeutic protocols, and decision-support modules that assist practitioners with outcomes evaluation and helping optimize the rehab intervention strategy.;2002;1
The present cutting-edge communication technology applied to the rehabilitation may change the real possibility of providing therapeutic treatments to the patients at their home. In order to confirm this assertion a current study on motor telerehabilitation was undertaken. Through a virtual reality based system, and a complementary video conference apparatus, we supplied five post stroke patients with a motor rehabilitation therapy. The rehabilitation technique was based on the augmented feedback. Subjects underwent the telerehabilitation program for six weeks. Before and after the therapy, arm motor performance and the activities of daily living were evaluated by the means of clinical scales and measuring the affected arm velocity (end-effector). This pilot study suggested that telerehabilitation could promote the learning of arm motor abilities at distance from the health facilities. From an economic point of view, it could be proposed also as an opportune strategy for saving resources.;2002;1
The Rutgers Master II-ND glove is a haptic interface designed for dextrous interactions with virtual environments. The glove provides force feedback up to 16 N each to the thumb, index, middle, and ring fingertips. It uses custom pneumatic actuators arranged in a direct-drive configuration in the palm. Unlike commercial haptic gloves, the direct-drive actuators make unnecessary cables and pulleys, resulting in a more compact and lighter structure. The force-feedback structure also serves as position measuring exoskeleton, by integrating noncontact Hall-effect and infrared sensors. The glove is connected to a haptic-control interface that reads its sensors and servos its actuators. The interface has pneumatic servovalves, signal conditioning electronics, A/D/A boards, power supply and an imbedded Pentium PC. This distributed computing assures much faster control bandwidth than would otherwise be possible. Communication with the host PC is done over an RS232 line. Comparative data with the CyberGrasp commercial haptic glove is presented.;2002;1
This research project st udies the use of videoconferencing technology to assess functional status from outside the clinic. The technologies under use meet the H.320 and H.324 videoconferencing standards. The Wolf Motor Function Test, Arm Motor Ability Test, Jebsen-Taylor Hand Function Test, Barthel Test, Fugl-Meyer Assessment and Motor Activity Log are the measures under investigation. For each of these assessment instruments, the aim is to both evaluate whether remote evaluation is as effective as face to face, and to disseminate recommendations regarding specific protocols.;2002;1
Advances in the design and delivery of trauma care and acute medical management have increased the number of survivors of traumatic brain injury (TBI), producing societal consequences and medical challenges. Although access to health care for rural patients remains a critical challenge, teletherapy may represent a viable means for the delivery of therapeutic services to such patients. A case study is presented in which teletherapy was successfully utilized to improve the functional outcomes, both physical and cognitive, of a patient with a severe TBI. A physical therapist from a metropolitan rehabilitation center employed teletherapy to provide Neuro Developmental Treatment for a patient and to mentor staff in a nursing home located over 100 miles from the metro area. The patient, who participated in 48 physical teletherapy sessions over a 24-week period, demonstrated improvements in physical functioning and neuropsychological status. During the course of therapy, goals were adjusted upward to match the patient's improvements. This case study provides confirmatory evidence that teletherapy represents an effective and efficient means for providing rehabilitation services for patients in rural communities, as well as for facilitating mentoring relationships between seasoned professionals and trainees located in rural settings.;2003;1
An interdisciplinary collaboration between engineering and allied health clinician-scientists forms the basis for the development and testing of virtual reality technology and it delivery. An overview of the development of the haptic interface used for lower extremity rehabilitation and its interface with web-based technology for the delivery of rehabilitation is described. Preliminary findings are discussed. Future endeavors are outlined.;2003;1
Decreased length of inpatient rehabilitation stay, greater long-term injury survival rates, broader access to information technologies, and the growing role of the Internet create potential for new models of rehabilitation that are more community- and person-centered rather than historically hospital- and provider-centered services. In recent years, information-based rehabilitation technologies have grown rapidly, expanding the possibilities for numerous interventions to promote independent living. These programs have centered primarily on providing rehabilitation health services over a distance (telerehabilitation). Telerehabilitation can be conceived as part of a broader approach that includes elements of direct rehabilitation services, service coordination. community resources, and information relay between numerous individuals, service providers, and community members (rehabilitation informatics). Because of the complexity of these information types and sectors, this broader conceptual approach of rehabilitation informatics borrows heavily from fields such as adaptive computing, robotics, computer networking, and high-level systems programming. As such, innovation in rehabilitation informatics will require new models of training that span these domains. This paper proposes a rationale for the new field of rehabilitation informatics, and offers a multidisciplinary training model for the next generation of rehabilitation informaticians.;2003;1
Delivery of rehabilitative health care at remote distances becomes feasible with neural net-assisted automation. Using neural nets trained to recognize characteristics of extensive/reflective responses, a series of rules can be invoked to guide functional restoration for individuals with neurological disorders of movement. The key to reeducation follows from sensory feedback substitution.;2003;1
Distance monitoring of rehabilitation exercises has been primarily conducted using two-way video conferencing. This paper presents a real-time web-based monitoring system that greatly enhances the capability of the clinician to direct rehabilitation therapies.;2003;1
Hand motor tasks, even those commonly required by daily life activities, entail complex muscle activation. This article describes a self-contained experimental set-up for the objective kinetic and kinematic analysis of each finger function under several working conditions. Special attention is given to grasping and pressing under isometric conditions. The analysis of the contribution of the thumb is particular to this system. This system has proved accurate, reliable, easy-to-use, and suitable for applications in research environments, and as a support to clinicians for diagnosis and during rehabilitation.;2003;1
Objectives: To discuss the advantages and disadvantages of rehabilitation applications of virtual reality. Methods: VR can be used as an enhancement to conventional therapy for patients with conditions ranging from musculo-skeletal problems, to stroke-induced paralysis, to cognitive deficits. This approach is called VR-augmented rehabilitation. Alternately, VR can replace conventional interventions altogether, in which case the rehabilitation is VR-based. If the intervention is done at a distance, then it is called telerehabilitation. Simulating exercises for past-stroke patients have been developed using a teacher object approach or a video game approach. Simulations for musculo-skeletal patients use virtual replicas of rehabilitation devices (such as rubber ball, power putty, peg board). Phobia-inducing virtual environments are prescribed for patients with cognitive deficits. Results: VR-augmented rehabilitation has been shown effective for stroke patients in the chronic phase of the disease. VR-based rehabilitation has been improving patients with fear of flying. Vietnam syndrome, fear of heights, and chronic stroke patients. Telerehabilitation interventions using VR have improved musculo-skeletal and post-stroke patients, however less data is available at this time. Conclusions: Virtual reality presents significant advantages when applied to rehabilitation of patients with varied conditions. These advantages include patient motivation, adaptability and variability based on patient baseline, transparent data storage, online remote data access, economy of scale, reduced medical costs. Challenges in VR use for rehabilitation relate to lack of computer skills on the part of therapists, lack of support infrastructure, expensive equipment (initially), inadequate communication infrastructure (for telerehabilitation in rural areas), and patient safety concerns.;2003;1
One of the main goals of the System for Integrated Development of the Family is to offer outpatient rehabilitation services. One strategy to provide these services to outlying populations was to create community-based rehabilitation services via the Basic Rehabilitation Units. Since there is a shortage of qualified rehabilitation personnel, the BRU are managed by Physical Therapy Assistants. In Baja California Sur, as in other Mexican states, geographic and economic issues limit the current supervision, professional support, and up-to-date knowledge. Between 26 February 2002 and 20 February 2003, four BRU were linked to the Rehabilitation and Special Education Center (RSEC) to carry virtual rehabilitation services, called telerehabilitation. An evaluation of the first year showed that telerehabilitation services have been useful and cost-effective.;2003;1
"Survivors of traumatic brain injury (TBI) often experience cognitive and physical impairments. The aims of this study were to: 1) build an internet-based, Virtual Rehabilitation Center (VRC) that provides rehabilitation, education and support services to individuals with TBI; and 2) to determine the relationships between the nature and severity of the participants' cognitive impairments and their ability to use the VRC. Eight individuals with brain injuries (Age: M = 43, SD = 15.4; Years of Education: M = 13.8, SD = 3.15) participated. The Neurobehavioral Cognitive Status Exam (NBCSE) was used to assess intellectual functioning. The VRC modules consisted of reaction time, functional modules, and communication capabilities. All participants learned how to use the VRC. However, those requiring more trials to acquisition showed greater cognitive impairment than those requiring fewer trials in: Construction (p = 0.02), Reasoning-Similarities (p = 0.01) and in calculation and language repetition. (i.e., a non-significant trend). Importantly, all participants learned how to use the system although learning rates varied. Moreover, one case-study demonstrated that learning on the VRC generalized to the community. Overall, impairments on the NBCSE in visual-constructional integration and executive-type functions, as well as language processing appeared to be related to how effectively participants teamed how to use the VRC.";2003;1
Telerehabilitation is the provision of rehabilitation services at a distance using electronic information and communication technologies. This paper describes two clinical programs that utilize videoconferencing to provide rehabilitation specialist consultations to individuals living in remote areas. Needs assessments for the two areas revealed that local clinicians were interested in access to specialty consultation. Administrative processes and a data collection tool were developed for these programs. High speed videoconferencing that allows for real-time audio and video interaction was used. Each consultation includes the patient, the local caregivers and specialists from our facilities interacting via videoconferencing. A total of 117 telerehabilitation encounters have been completed. All consultations resulted in changes to the plan of care. Clinicians who participated in the projects consistently rated the clinical effectiveness of teleconsults as good or excellent. Thirty-eight consultations have been neurologic in nature. Of that set, 25 of the visits were initial assessments, and thirteen were follow-up visits. Two case studies of individuals with neurologic diagnoses are presented. Recommendations to others who are providing rehabilitation services via telehealth technologies are included. The authors conclude that the care of individuals with neurologic issues can be augmented and supported via specialty consultation using telehealth technology.;2003;1
The aim of this study is to investigate the acceptability and usability of information technology as one means of psycho-social rehabilitation of paraplegic and quadriplegic patients with spinal cord injury. From a group of 66 selected individuals, 17 (25.7%) prioritised a course in information technology as a form of rehabilitation. Out of the 16 people who were offered activities within the project to be described, courses in informatics were rated sixth i.e. rated as more popular than other possible activities. I I individuals out of 14 who entered the course (78.6%), successfully finished it and rated the course very highly. (4.5 on scale 1-5). The informatics course presented the possibilities of teleconferencing and discussed information and communication technology applications within the framework of telerehabilitation.;2003;1
"The reintegration of students after acquired/traumatic brain injury (ABI/TBI) continues to be fraught with difficulties. Presented are (1) case studies exploring the potential of online support for teachers of students with ABI after returning from a paediatric rehabilitation centre; (2) results of Internet-based courses about reintegrating students with ABI; (3) outcomes of videoconferencing-based and Internet email-based support; (4) development of an online support process that uses Questions and Answers as a quick and immediate resource for teachers. The authors recommend that a collaborative process be instituted, in order to generate a relatively small number of high quality online resources about re-integrating students into their school and community. A second recommendation focuses on the development of online support network which may be text or email based or which may use videoconferencing over the Internet. Such networks allow students with ABI to maintain contact with their family and friends in the home community and facilitate their reintegration An Internet-based support structure also allows professionals to provide consultation, collaboration and continuing input.";2003;1
"There is a need to develop and evaluate alternative techniques for upper-extremity stroke rehabilitation. Currently there are many promising therapeutic techniques; however, the cost is generally too high and the participation tends to drop off. A unique design is proposed that modifies a mass-marketed joystick and features: a) an extended joystick that enables a larger range of motion and arm movements in both the horizontal and vertical fields that can be augmented with passive springs, b) motors in series with mechanical springs capable of providing moderate assistive forces, and c) an approach emphasizing computer-assisted motivating therapy that takes advantage of commercial gaming industry products.";2003;1
There is increasing interest and activity in the provision of teleassessment and telerehabilitation services to individuals with traumatic brain injury. Yet, little formal research exists, and there are no large-scale clinical trials or evidence-based applications of these technologies in TBI. The present commentary will address several areas that warrant critical consideration before telerehabilitation is likely to be widely implemented and reimbursed.;2003;1
This study reports on secondary data, depression, fatigue and health-related quality of life (HRQOL), collected on people with advanced multiple sclerosis (MS) as part of a larger study of the impact of a telerehabilitation intervention on people with severe mobility impairment. People with spinal cord injuries (SCIs) (n = 111) and the prevention of pressure sores were the primary group of interest of the project. The focus here is on data collected from people with advanced MS (n = 27), who were included as an exploratory cohort, as they experience increased risk of pressure ulcer development as their level of mobility declines. The study consisted of a nine-week intervention with three randomized groups: video, telephone, and standard care. Aside from information on pressure sores, data were also collected on fatigue, depression, and HRQOL for a two-year follow-up period. For the video group HRQOL scores trended higher and fatigue and depression scores lower for 24 months. Fatigue scores were significantly lower for the video group at month six, 12, and 18. In the sample overall, fatigue symptoms were far more prominent than depressive symptoms and affected 100% of the sample at month 12. Men exhibited significantly higher rates of depression than women. At baseline, controlling for Extended Disability Status Score (EDSS), depression and fatigue were correlated. However, contrary to indications from previous cross-sectional studies, no consistent relationship was observed over time between the two. Telerehabilitation interventions for people with advanced MS warrant further investigation. Findings here suggest that such interventions may be beneficial, although the results need affirmation through larger samples. In addition, the higher prevalence of male depression merits serious attention.;2003;1
We have developed a low-bandwidth, Internet-based telerehabilitation system to provide outpatient rehabilitation to patients who have undergone total knee arthroplasty. The preliminary efficacy of this treatment programme in terms of both physical and functional objective outcome measures was assessed on 21 patients. Subjects receiving a six-week rehabilitation programme were randomized to the telerehabilitation system or the usual face-to-face method. The physical and functional improvements in the telerehabilitation group were similar to those in the control group. There was a non-significant trend for greater improvements in the telerehabilitation group for most outcome measurements. The telerehabilitation programme was well received by patients. The results of this study provide evidence for the efficacy of low-bandwidth telerehabilitation consultations.;2003;1
"We investigated the accuracy and reliability of observational kinematic gait assessments performed via a low-bandwidth Internet link (118 kbit/s) and a higher-speed Internet link (128 kbit/s). Twenty-four subjects were randomized to either bandwidth group. Gait was assessed with the Gait Assessment Rating Scale (GARS) in the traditional manner, which is from video-recordings, and with repeated measurements via the online method. Online assessment was found to provide as accurate a measure of gait performance as the traditional assessment (limits of agreement<1 GARS point; intraclass correlation coefficient, ICC=0.96) regardless of the speed of the Internet connection. The online assessment also demonstrated high intra-rater (ICC=0.96) and inter-rater (ICC=0.92) reliability. Low-bandwidth telerehabilitation applications appear to be feasible via the Internet.";2003;1
