Abstract;Year
My vision for the 21st Century: Computational thinking will be a fundamental skill used by everyone in the world. To reading, writing, and arithmetic, let's add computational thinking to every child's analytical ability. Computational thinking has already influenced other disciplines, from the sciences to the arts. The new NSF Cyber-enabled Discovery and Innovation initiative in a nutshell is computational thinking for science and engineering. Realizing this vision gives the field of computing both exciting research opportunities and novel educational challenges. The field of computing is driven by technology innovation, societal demands, and scientific questions. We are often too easily swept up with the rapid progress in technology and the surprising uses by society of our technology, that we forget about the science that underlies our field. In thinking about computing, I have started a list of Deep Questions in Computing, with the hope of encouraging the community to think about the scientific drivers of our field.;2008
Programming is always a fundamental and important part of computer science curriculums, and most Computer Science programs offer an introductory programming methodology course (CS1) for freshmen. This paper describes our teaching philosophy and instructional design of the introductory programming course in detail, which emphasizes computational thinking, abstract thinking and problem-solving ability instead of programming language syntax. Also the course is carefully designed to make each student beneficial whether he has stronger foundation or weaker one.;2008
"Students in sophomore computer science (CS 2) are required to study the properties of a number of standard data structures; that is, common patterns of organizing data in a computer program. Typically, students are first presented with diagrams that graphically depict the data structure, and then shown sample code that actually implements it. We have observed, however, that there is a sizable gap between these two representations, and that many students who master the former have great difficulty translating that knowledge into the latter. We suspect that our pedagogy could be made more effective by treating diagrams themselves as formal entities, and providing students with a way of mapping operations on the easy (pictorial) domain into the hard (programmatic) domain. To help develop this technique, we carried out a semester-long experiment in which students demonstrated their understanding of the material both in diagrams and in code. The goal was to ascertain the kinds of mistakes that are often made, and how a technique like this could be most effective.";2008
The sixth annual graduate consortium at VL/HCC addresses the question: How can researchers and designers of end-user development environments support computational problem-solving and information manipulation by diverse user populations?;2008
3D game development can be an enticing way to attract K-12 students to computer science, but designing and programming 3D games is far from trivial. Students need to achieve a certain level of 3D fluency in modeling, animation, and programming to be able to create compelling 3D content. The combination of innovative end-user development tools and standards-based curriculum that promotes IT fluency by shifting the pedagogical focus from programming to design, can address motivational aspects without sacrificing principled educational goals. The AgentCubes 3D game-authoring environment raises the ceiling of end-user development without raising the threshold. Our formal user study shows that with Incremental 3D, the gradual approach to transition from 2D to 3D authoring, middle school students can build sophisticated 3D games including 3D models, animations, and programming. (C) 2009 Elsevier Ltd. All rights reserved.;2009
Computational and mathematical methods arguably have an enormous potential for serving practical needs in crime analysis and prevention by offering novel tools for crime investigations and experimental platforms for evidence-based policy making. We present a comprehensive formal framework and tool support for mathematical and computational modeling of criminal behavior to facilitate systematic experimental studies of a wide range of criminal activities in urban environments. The focus is on spatial and temporal aspects of different forms of crime, including opportunistic and serial violent crimes. However, the proposed framework provides a basis to push beyond conventional empirical research and engage the use of computational thinking and social simulations in the analysis of terrorism and counter-terrorism.;2009
Computational thinking is taken for the fundamental skills for everyone, not just computer scientist, to learn and use. It remains to be explored in many aspects how to understand the essence of computational thinking and how cultivate the computational thinking ability of students. In the view of course teaching of computer science, this paper discusses the perception of the essence of computational thinking and presents a method for the cultivation of the computational thinking ability by using courses as carrier, and a case study of the course Data Structures and Algorithms.;2009
In this paper, we describe a computer science curricular framework for creating innovative, four-year computer science programs for high school computer science courses. Based on a suggested set of great principles of computing by Peter Denning, the framework is structured as a stack of four curricular layers. The result is a framework design that provides a high degree of curricular and pedagogical flexibility, particularly suited for the rapidly changing discipline of computer science. This report describes the computer science curricular framework, the implementation of the framework and the deployment of a four-year curriculum from the implemented framework. Initial classroom experiences are reported.;2009
Many prominent computer scientists have proposed that every student should learn computational thinking. Computational thinking involves learning how to use computers to solve problems. It involves learning how to choose and design algorithms tailored to the problem, and how to build computer systems that implement these algorithms. How does visual thinking fit into this broader effort? In this talk I will argue that both computational and visual thinking are examples of different systems of thought. A system of thought is a set of ideas and representations that help us efficiently structure our thinking. Others examples of systems of thought include logic, mathematics, and language. Each of these systems of thought has strengths and weaknesses. There are problems where a visual representation immediately leads to the right answer. Unfortunately, many proponents of visualization advocate its use even though there are better approaches to solving the same problem. Furthermore, even if visualization is the appropriate tool, the most important first step is deciding how to depict the information. There are many subtle trade-offs in the choice of visual representation. Finally, experts often use multiple systems of thought synergistically. Many of the best examples of visualization occur when it is coupled with other ways of thinking.;2009
"Software talents should have the engineering ability, a common sense in IT industry, which is characterized by the fact that design plays a very important role in software engineering. Basis on the enhancement of computational thinking, the reform ideas of the development of the student's engineering ability are introduced. The detailed approaches include: 1) Extraction of fundamental discipline concept of engineering ability development; 2) Problem solving-centered organization of courses of software development tools; 3) Initiate the courses of software engineering as soon as possible; 4) Continual training of abstract logical thinking for the purpose of software abstract thinking.";2009
The appearance and innovation of computational tools depends on human thinking and initiative, and on the other hand, human thinking is affected by computational tools. The strong function of computational tools in some aspect is superior to that of human brains. It is the application of such strong function that changes the face of human society. At the same time, it presents new methods for scientific research and new perspective for solving problems, promotes human thinking to a higher level, and presents new means for people to understand and change the world. The advantage of computational tools over human brains is the speed, while the initiative ability of human brains is not owned by computational tools. Perfect combination of thinking and computing gives birth to a series of achievements, and lays the foundation of science.;2009
The computational thinking view recognizes that underlying computing concepts are integral to our everyday lives and pervasive in many disciplines of study.;2009
The essence of computational thinking is thinking about data and ideas, and using and combining these resources to solve problems. The internal requirement of the programming courses is to cultivate the student's the ability to use programming language for problem analysis and problem solving. According to the characteristics of the courses themselves, this paper proposes a course teaching system built on the core of computational thinking ability cultivation and related reform method, which emphasizes the problem solving and algorithm design and determines the relationship between object-oriented method and procedure-oriented method in theoretical teaching, and designs multi-layer experiments and project-based experiment organization. This teaching strategy proves effective through teaching practice.;2009
"This abstract describes design-based research on building tools that support the development of skills which will allow learners to become producers rather than simply consumers of computational tools. Game creation is an activity which has good potential for learning skills such as multimodal writing and Computational thinking skills. Existing tools make the creation of commercial quality games possible, but fall short of fulfilling the potential for skills development Learner-centred design of a suite of tools which it;ill guide learners towards activities with potential for the desired skills development is underway Current progress on the design and development of tools is reported and future activities are outlined.";2009
This paper discusses and analyzes the impact of computational thinking in scientific discovery. This paper holds the view point that the appearance and innovation of computational tools depends on human thinking and initiative, and on the other hand, human thinking is affected by computational tools. The strong function of computational tools in some aspect is superior to that of human brains. It is the application of such strong function that changes the face of human society. At the same time, it presents new methods for scientific research and new perspective for solving problems, promotes human thinking to a higher level, and presents new means for people to understand and change the world. The advantage of computational tools over human brains is the speed, while the initiative ability of human brains is not owned by computational tools. Perfect combination of thinking and computing gives birth to a series of achievements, and lays the foundation of science.;2009
This paper explores the potential for simplified programming languages to support the development of computational thinking skills in non-programmers We suggest that novice programming languages might offer a starting point for non-programmers to engage with a substantial subset of computational thinking concepts, and assess a number of languages from this perspective We outline four key computational thinking skills and examine the support provided by existing languages We then de scribe additional characteristics which would be important for a new language aimed specifically at developing computational thinking skills;2009
This project tries to provide a clarified and comprehensive understanding of the computing disciplines that allows shared experiences and expertise within and across the community. This collective sharing enables computing faculty to collaborate with other disciplines that use computing to enhance groups, and to create new cross-disciplinary areas of study and research. This involves the integration of computing with other disciplines like engineering, sciences, business, and arts and explores the challenge by bringing together instructors and researchers across the disciplinary boundaries. Distributed Expertise enhances teaching and learning experiences for students of computing and other disciplines in which computational thinking and computing models contribute to a variety of applications. This project is a collaboration by Villanova University, Virginia Technology University, and The College of New Jersey (TCNJ).;2009
Three of: the most important skills for advancing modern mathematics and science are quantitative reasoning, computational thinking, and multi-scale modeling. The SUCCEED Apprenticeship program gives students the opportunity of exploring all three of these areas. The SUCCEED Apprenticeship program uses innovative approaches to get students excited about computational science. The overall goal of this program is to provide middle and high school students with authentic experiences in the techniques and tools of information technology with a particular focus on computational science. The program combines appropriate structure (classroom-style training and project-based work experience) with meaningful work content, giving students a wide variety of technical and communication skills. The program provides middle and high students from ethnically and economically diverse backgrounds with training and authentic experience,, in using computational science.;2009
A variety of approaches exist to teach computer science concepts to students from K-12 to graduate school. One such approach involves using the mass appeal of game design and creation to introduce students to programming and computational thinking. Specifically, Scalable Game Design enables students with varying levels of expertise to learn important concepts relative to their experience. This paper presents our observations using Scalable Game Design over multiple years to teach middle school students, college level students, graduate students, and even middle school teachers fundamental to complex computer science and education concepts. Results indicate that Scalable Game Design appeals broadly to students, regardless of background, and is a powerful teaching tool in getting students of all ages exposed and interested in computer science. Furthermore, it is observed that many student projects exhibit transfer enabling their games to explain complex ideas, from all disciplines, to the general public.;2010
Compelling experiences in introductory courses make a key difference in whether non-majors develop an interest in computer science, possibly even converting them into undergraduate majors or minors. In this paper we advocate integrated hands-on laboratory style activities to provide such pivotal experiences. In the lab activities we describe, students do not engage in programming, yet they learn to think computationally by engaging in computational activities. The course in which these labs are implemented is oriented around three aspects of the the internee's underside: its techno-scientific underpinnings, environmental and energy problems and promise brought on by its rapid growth, and security threats associated with its use. We describe the goals and content of the lab activities, as well as various challenges encountered through their implementation. We also discuss student responses and future directions.;2010
Computational Thinking (CT) has been articulated as a fundamental skill for everyone, not just for computer scientists [10]. Almost all agree with the lofty goals of the initiative, to teach humanity the ability to see the world through the sharpened eyes of a computer scientist. Others have shared their vision of what CT is, how to pave the way [7], weave it into a curriculum [1, 2, 9], and what the effects might be [8]. However, what does it really mean to be a computational thinker? While it is helpful to see examples that show we're already engaged in CT (e.g., using a backpack is pre-fetching and caching), it is perhaps more valuable to see everyday situations that are transformed when viewed through a computational thinker's trained eyes (e.g., writing dates as YYYY-MM-DD so they'll sort correctly). We hope to present enough examples to satisfy a growing chorus of those who need more grounding, using a unique delivery format. Jeff Foxworthy is a popular and successful stand-up comedian, especially in rural areas of the southern United States [5]. His signature bit is to find subtle aspects of life that are common to rednecks, a term used to describe uneducated white farm laborers (whose neck is red from sunburn) [3]. These observations are never meant to be mean-spirited, are told with acute comic timing, and audiences love them. Here are some of his best [4], using his template: If, you might be a redneck! you think the last words to the Star Spangled Banner are 'Gentlemen, start your engines '... you get stopped by a state trooper, and when he asks you if you have an I.D. and you say, 'Bout what?'... you carried a fishing pole into Sea World... We will use a similar template and each of the four stand up computational thinkers will riff on observations of life as seen through CT eyes. We hope to provide enough examples that the (mostly CT) audience will feel compelled to join us in an open mike format and share their experiences. Whenever possible, we will channel Mr. Foxworthy and aim for the funny bone.;2010
"Cyberlearning infrastructures are increasingly being integrated into physical classrooms and are often used by online classes as an outright replacement for the physical classroom. In Spring 2009, The Educational Game Design Class, taught at the University of Colorado Boulder, employed a cyberlearning infrastructure enabling students to run and even download classmate assignment submissions before the homework deadline. This cyberlearning infrastructure, called the Scalable Game Design Arcade, also allowed students to give feedback on other students' assignments. Analysis of data from the Scalable Game Design Arcade indicates that students used the online infrastructure to play and appraise fellow students' games. Interestingly however, data suggests that most students preferred to give feedback verbally in-person during class; data also indicates that in-class feedback was the most effective in terms of getting students to improve and resubmit their assignments.";2010
Educators recommend that students become acquainted with different programming paradigms in order to acquire alternative ways of computational thinking [3] and various approaches for problem solving [2]. Since students, learning different paradigms show both, positive and negative transfer effects, instructors should address it directly in the study track by relating to the characteristics of each paradigm, and specifically to the differences and similarities between them. In this poster, we investigate two programming paradigms- object-oriented programming and logic programming in the context of using inheritance for knowledge representation and problem solving.;2010
For a variety of reasons there has been a renewed interest in non-major level computer science courses. One reason for this is that non-major courses are seen as potentially increasing both interest and enrollment in computer science courses. Another reason is the rising popularity of computational thinking. Furthermore, as computation becomes the cornerstone of research methodologies, if not professional practice, in the natural, physical and social sciences, including, as well, a growing influence in the humanities, the demand from external departments/programs for non-major level service courses has began to rise, albeit slowly. This raises some interesting questions to the CSE community. Given that one offers a single non-major level course, what should be the topics covered as distinct from the technologies used to convey those topics? What learning outcomes are most desired? Finally, the competency, or at least serious introduction of which technological skills, if any, should be considered mandatory (e.g. programming). In short, what should a non-major/minor student who takes one course in computer science come away with knowing and being able to do? Possibly orthogonal to this is the question: What should any liberally (college) educated person know about computation at this point in time? This panel will outline four different perspectives on this important question in addition to engaging the audience in a discussion regarding the answers to the questions raised.;2010
Game design appears to be a promising approach to interest K-12 students in Computer Science. Unfortunately, balancing motivational and educational concerns is truly challenging. Over a number of years, we have explored how to achieve a functional balance by creating a curriculum that combines increasingly complex game designs, computational thinking patterns and authoring tools. Scalable Game Design is a research project exploring new strategies of how to scale up from after school and summer programs into required curriculum of public schools through game design approaches. The project includes inner city schools, remote rural areas and Native American communities. A requirement checklist of computational thinking tools regarding curriculum, teacher training, standards and authoring tools has been developed and is being tested with thousands of students.;2010
In March 2005, at the occasion of his 50th birthday, Bill Gates went public with his Virtual Earth Vision for local search in the Internet and stated: You'll be walking around in downtown London and be able to see the shops, the stores, see what the traffic is like. Walk in a shop and navigate the merchandise. Not in the flat, 2D interface that we have on the web today, but in a virtual reality walkthrough. This implies optimism that an enormous advance will be achieved in computing power, communications bandwidth, miniaturization of computing, increase of storage capacity and in the ability to model the human habitat (the Earth) in great detail in 3 dimensions, with photographic realism and at very low cost per data unit. Action followed this declaration by Bill Gates, and the transition of a then-10-year old Microsoft business segment called Map Point into a new Virtual Earth Business Unit was kicked off (recently renamed Bing Maps). The Microsoft initiative, along with similar initiatives by other Internet-providers, most visibly Google, can serve as an example and actually also as a driver for the future of computing and of computational thinking. Research in the complete automatic creation of 3D models of urban spaces has become greatly inspired and now is a very active field of innovation. The level of automation in creating 3D city models has benefited from an increase in the redundancy of the source data in the form of highly overlapping imagery either from the air or from the street. We explain in this paper that it is possible to create 3D models of an entire city from aerial photography fully automatically, and thus at a commercially acceptable cost. Using this as a geometric framework, detail can be added from street-level and indoor imagery or laser scanner data. Such data can be produced either systematically or by us, the anonymous community of users. The result is a global geo-data base consisting of a combination of aerial data at perhaps 10 to 15 cm pixel size, street side data at perhaps 2 cm and indoor data of important or commercially relevant spaces at 0.5 cm pixel size. This will add up to a data base of thousands of cities, perhaps also of smaller communities, with more than I Exabyte to be created and maintained.;2010
In recent years, several groups of Computer Science educators have made a sustained effort to capture the essence of CS apart from programming. Three of these approaches are Mathematical Thinking, Abstract Thinking, and Computational Thinking. Each approach tries to clarify areas of CS that are not directly tied to writing computer programs. In a separate line of research, the current authors have been examining different ways to teach mathematics to CS students. We developed a Computational Math scale that measures the level of problem-solving gestalt exhibited by textbook authors. In this study, we relate our Computational Math framework to current research on Mathematical, Abstract, and Computational (MAC) Thinking. We counted words used frequently in research articles and compared them to words that form the Computational Math scale. Our results suggest an overall MAC Thinking framework that integrates a wide range of topics relevant to computing and programming.;2010
In the past few years sustainability and green computing have received tremendous interest across the world. Computing plays a critical role in our society, thus it has a special responsibility for sustainability and green movement. In this paper, we advocate sustainability integration into undergraduate computing education. We present three sustainability integration strategies, our efforts to develop a green computing course and learning modules, and course evaluation. We believe that sustainability integration will help prepare our graduates with computing competencies, multi-disciplinary knowledge, and computational thinking to create a sustainable future.;2010
In this article, we share our experiences offering an original course entitled Intelligent Systems targeted at undergraduate social and behavioral science students. Intelligent Systems provides a rigorous introduction to robotics and surveys selected topics in artificial intelligence. This course is tailored to students with little mathematical background and no programming experience. We offer best practices and information from successful course components and ideas for tailoring course content to social and behavioral science students. The motivation for this course comes from the wide interdisciplinary appeal of robotics and artificial intelligence. They have been leveraged to improve recruitment to the major and to expose students in other disciplines to computational thinking. However, no offerings of CS0 that exclusively cater to the large social and behavioral science population are available that focus on intelligent systems. Robots and AT systems are affordable and accessible to this group of students. We propose our solution to this problem and argue for offering multiple, interdisciplinary CS0 offerings.;2010
Media-Propelled Computational Thinking (MPCT pronounced impact) is a course designed to introduce programming in the context of engaging problems in media computation, math, and physics. Programming concepts are introduced as incremental steps needed to solve pragmatic problems students already understand. The problems, graphical API, and hands-on program features are intended to expose fundamental concepts in mathematics and quantitative science. MPCT is offered in an entering students program for freshmen who plan to specialize in a variety of STEM (science, technology, engineering and math) and non-STEM subjects. The curriculum is intended to strengthen student intuition and interest in mathematical modeling and programming by engaging students in the direct manipulation of simple mathematical systems that model and display familiar physical phenomena. MPCT uses programs as concrete and manipulatable examples of fundamental concepts to engage a diverse range of students including women and underrepresented minorities. Variants of MPCT are being developed for high schools, and as a means to introduce computational science to upper division undergraduates studying non-computational STEM disciplines. This paper provides an overview of MPCT and representative problem studies including models of ballistics and resonant systems. The evaluation plan is described and very preliminary results are presented.;2010
Students and faculty at all education levels are clearly spending much more of their days interacting with computing and communication tools than with each other. Is this good? Are all uses of technology in education helpful, and if not, how does one separate the benefits from the burdens? We will explore how technology enables dynamic representation in the sciences, arts, and humanities, giving us the opportunity to be more fully human as we seek new knowledge in service to society. A world-class education requires world-class resources, and all math and science teachers should be able to bring interactive modeling environments to their own teaching practice. We will explore a variety of free and low-cost sources for modeling tools from the Computational Science Education Reference Desk, a pathway project of the U.S. National Science Digital Library (http://www.nsdl.org).;2010
Students and faculty at all education levels are clearly spending much more of their days interacting with computing and communication tools than with each other. Is this good? Are all uses of technology in education helpful, and if not, how does one separate the benefits from the burdens? We will explore how technology enables dynamic representation in the sciences, arts, and humanities, giving us the opportunity to be more fully human as we seek new knowledge in service to society. A world-class education requires world-class resources, and all math and science teachers should be able to bring interactive modeling environments to their own teaching practice. We will explore a variety of free and low-cost sources for modeling tools from the Computational Science Education Reference Desk, a pathway project of the U.S. National Science Digital Library (http://www.nsdl.org).;2010
Thanks to recent advances in computing power and speed, designers can now generate a wealth of data on demand to support engineering design decision-making. Unfortunately, while the ability to generate and store new data continues to grow, methods and tools to support multi-dimensional data exploration have evolved at a much slower pace. Moreover, current methods and tools are often ill-equipped at accommodating evolving knowledge sources and expert-driven exploration that is being enabled by computational thinking. In this paper, we discuss ongoing research that seeks to transform decades-old decision-making paradigms rooted in operations research by considering how to effectively convert data into knowledge that enhances decision-making and leads to better designs. Specifically, we address decision-making within the area of trade space exploration by conducting human-computer interaction studies using multi-dimensional data visualization software that we have been developing. We first discuss a Pilot Study that was conducted to gain insight into expected differences between novice and expert decision-makers using a small test group. We then present the results of two Preliminary Experiments designed to gain insight into procedural differences in how novices and experts use multidimensional data visualization and exploration tools and to measure their ability to use these tools effectively when solving an engineering design problem. This work supports our goal of developing training protocols that support efficient and effective trade space exploration.;2010
The notions of as if and don't care are essential notions in computational thinking. The former appears in the reformulation of tasks, reduction between tasks, auxiliary variables, and more. The latter is the core of non-determinism, asynchronous execution, and arbitrary choices in deterministic algorithms. The two notions are not intuitive, and require abstraction. We expect computer science (CS) graduates, who developed computational thinking during their studies, to demonstrate comprehension of these notions. Unfortunately, this may not be the case. In this paper we present a study of CS graduates, which reveals difficulties of limited comprehension and acceptance of these notions. We characterize the difficulties, relate them to cognitive aspects of abstraction, and offer some didactic suggestions.;2010
"The number of undergraduates entering computer science has declined in recent years. This is paralleled by a drop in the number of high school students taking the CS AP exam and the number of high schools offering computer science courses. The declines come at a time when career opportunities in CS continue to grow and computer science graduates are seen as crucial in building a globally competitive workforce for the 21(st) century. Efforts aimed at reversing the declining interest in computer science include curriculum revisions at the undergraduate level at many institutions, a re-design of computer science AP courses [I], and the inclusion of computational thinking into disciplines outside computer science [3]. This panel discusses four projects of computer science researchers collaborating with high school teachers on integrating computing and computational thinking into their courses. The majority of the high school teachers involved is teaching science and math courses. They are teaching a diverse group of talented and college-bound students. The goal of all projects is to integrate computing into disciplines represented in the high school curriculum and to raise the awareness of computer science as an exciting and intellectually rewarding field. This panel will outline recent and on-going activities and interaction with high school teachers. Each panelist will describe how he/she got involved and the nature of the interaction. The panelists will talk about their individual projects, outline their visions for future interactions, and how their effort can be replicated by others. The session will briefly describe NSF's RET program which provided teacher support for three of the four projects. The session will then be opened for discussion; the audience will be encouraged to ask questions and contribute additional ideas for the inclusion of computational thinking in high school courses.";2010
The purpose of the REACH (REmote ACcess to smart Home facility) platform is to allow students to learn about basic principles of computer science and software engineering practices, and gain hands-on experience through observable effects of the computing systems in a familiar setting (home). It utilizes virtualization to encourage group collaboration and grants anytime, anywhere access to the smart home facility. It incorporates dynamic binding capability that allows students to either use the sensors and actuators hardware they check out and install locally for development, or to conduct experiments in the smart home facility. Once the development is completed, the programs can be deployed remotely, and students can make observations through web cams strategically situated in the smart home facility and the logs of the system's operations and users' activities. The REACH platform is designed to support a large spectrum of computer science courses, from the equivalence of computer science lab 101, interdisciplinary projects, all the way to research projects in artificial intelligence, pervasive computing, and human computer interactions.;2010
